Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.51,10.59,9.9,10.0,68157322.0,0.0,1.0,10.51,10.59,9.9,10.0,68157322.0
2018-03-26,10.71,10.8,10.18,10.44,75239343.0,0.0,1.0,10.71,10.8,10.18,10.44,75239343.0
2018-03-23,10.91,10.97,10.57,10.63,54661263.0,0.0,1.0,10.91,10.97,10.57,10.63,54661263.0
2018-03-22,11.1,11.26,10.85,10.91,59569610.0,0.0,1.0,11.1,11.26,10.85,10.91,59569610.0
2018-03-21,11.16,11.34,11.11,11.26,44453537.0,0.0,1.0,11.16,11.34,11.11,11.26,44453537.0
2018-03-20,11.41,11.52,11.0,11.11,64277926.0,0.0,1.0,11.41,11.52,11.0,11.11,64277926.0
2018-03-19,11.41,11.74,11.350999999999999,11.43,53034019.0,0.0,1.0,11.41,11.74,11.350999999999999,11.43,53034019.0
2018-03-16,11.49,11.55,11.32,11.47,36335291.0,0.0,1.0,11.49,11.55,11.32,11.47,36335291.0
2018-03-15,11.43,11.55,11.19,11.46,62979274.0,0.0,1.0,11.43,11.55,11.19,11.46,62979274.0
2018-03-14,11.7,11.72,11.26,11.36,79249146.0,0.0,1.0,11.7,11.72,11.26,11.36,79249146.0
2018-03-13,11.5,12.035,11.095,11.635,173734863.0,0.0,1.0,11.5,12.035,11.095,11.635,173734863.0
2018-03-12,11.76,11.82,11.48,11.52,83266830.0,0.0,1.0,11.76,11.82,11.48,11.52,83266830.0
2018-03-09,12.03,12.0392,11.58,11.7,88671179.0,0.0,1.0,12.03,12.0392,11.58,11.7,88671179.0
2018-03-08,12.395,12.59,11.74,11.97,75412079.0,0.0,1.0,12.395,12.59,11.74,11.97,75412079.0
2018-03-07,11.58,12.82,11.55,12.24,127603194.0,0.0,1.0,11.58,12.82,11.55,12.24,127603194.0
2018-03-06,12.01,12.045,11.71,11.76,46751179.0,0.0,1.0,12.01,12.045,11.71,11.76,46751179.0
2018-03-05,11.69,12.055,11.61,11.91,43734836.0,0.0,1.0,11.69,12.055,11.61,11.91,43734836.0
2018-03-02,11.67,11.93,11.43,11.81,58123518.0,0.0,1.0,11.67,11.93,11.43,11.81,58123518.0
2018-03-01,12.26,12.27,11.66,11.9,63207377.0,0.0,1.0,12.26,12.27,11.66,11.9,63207377.0
2018-02-28,12.66,12.73,12.1,12.11,43024362.0,0.0,1.0,12.66,12.73,12.1,12.11,43024362.0
2018-02-27,12.43,12.88,12.39,12.53,55068108.0,0.0,1.0,12.43,12.88,12.39,12.53,55068108.0
2018-02-26,12.14,12.43,12.05,12.42,41830973.0,0.0,1.0,12.14,12.43,12.05,12.42,41830973.0
2018-02-23,11.95,12.16,11.94,12.07,32964802.0,0.0,1.0,11.95,12.16,11.94,12.07,32964802.0
2018-02-22,11.82,11.995,11.63,11.84,37579666.0,0.0,1.0,11.82,11.995,11.63,11.84,37579666.0
2018-02-21,12.12,12.12,11.72,11.72,39840153.0,0.0,1.0,12.12,12.12,11.72,11.72,39840153.0
2018-02-20,11.72,12.19,11.71,12.02,46430056.0,0.0,1.0,11.72,12.19,11.71,12.02,46430056.0
2018-02-16,12.11,12.225,11.82,11.82,45980623.0,0.0,1.0,12.11,12.225,11.82,11.82,45980623.0
2018-02-15,12.4,12.625,12.07,12.181,57497914.0,0.0,1.0,12.4,12.625,12.07,12.181,57497914.0
2018-02-14,11.72,12.31,11.63,12.2,51529646.0,0.0,1.0,11.72,12.31,11.63,12.2,51529646.0
