Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,145.14,147.15,142.97,144.46,3042491.0,0.0,1.0,145.14,147.15,142.97,144.46,3042491.0
2018-03-26,144.23,145.51,142.61,145.21,2143161.0,0.0,1.0,144.23,145.51,142.61,145.21,2143161.0
2018-03-23,142.98,144.84,141.91,142.27,2161518.0,0.0,1.0,142.98,144.84,141.91,142.27,2161518.0
2018-03-22,141.87,145.1915,141.28,143.01,2450793.0,0.0,1.0,141.87,145.1915,141.28,143.01,2450793.0
2018-03-21,146.81,146.81,142.18,142.33,2422301.0,0.0,1.0,146.81,146.81,142.18,142.33,2422301.0
2018-03-20,145.38,147.68,145.38,146.31,2480655.0,0.0,1.0,145.38,147.68,145.38,146.31,2480655.0
2018-03-19,146.26,146.62,144.02,145.12,2571762.0,0.0,1.0,146.26,146.62,144.02,145.12,2571762.0
2018-03-16,146.37,147.1999,145.37,146.55,4036925.0,0.0,1.0,146.37,147.1999,145.37,146.55,4036925.0
2018-03-15,146.98,147.425,145.91,146.65,2134546.0,0.0,1.0,146.98,147.425,145.91,146.65,2134546.0
2018-03-14,146.5,147.32,145.59,146.46,2286622.0,0.0,1.0,146.5,147.32,145.59,146.46,2286622.0
2018-03-13,145.32,150.12,145.32,146.25,2145870.0,0.0,1.0,145.32,150.12,145.32,146.25,2145870.0
2018-03-12,143.31,145.7,143.31,145.08,2416469.0,0.0,1.0,143.31,145.7,143.31,145.08,2416469.0
2018-03-09,142.67,144.325,142.53,143.58,2166758.0,0.0,1.0,142.67,144.325,142.53,143.58,2166758.0
2018-03-08,140.51,142.87,140.11,142.74,2676433.0,0.0,1.0,140.51,142.87,140.11,142.74,2676433.0
2018-03-07,137.99,140.84,137.63,140.0,2749973.0,0.0,1.0,137.99,140.84,137.63,140.0,2749973.0
2018-03-06,136.73,140.43,136.21,138.88,3144376.0,0.0,1.0,136.73,140.43,136.21,138.88,3144376.0
2018-03-05,133.27,137.24,133.27,136.81,2486090.0,0.0,1.0,133.27,137.24,133.27,136.81,2486090.0
2018-03-02,134.63,134.75,132.02,134.0,3224579.0,0.0,1.0,134.63,134.75,132.02,134.0,3224579.0
2018-03-01,139.0,139.62,134.91,135.37,3177951.0,0.0,1.0,139.0,139.62,134.91,135.37,3177951.0
2018-02-28,141.31,141.62,139.31,139.33,4009924.0,0.0,1.0,141.31,141.62,139.31,139.33,4009924.0
2018-02-27,142.72,142.99,135.81,140.7,4567208.0,0.0,1.0,142.72,142.99,135.81,140.7,4567208.0
2018-02-26,142.14,142.95,142.08,142.74,2204725.0,0.0,1.0,142.14,142.95,142.08,142.74,2204725.0
2018-02-23,139.6,141.87,138.87,141.87,1906413.0,0.0,1.0,139.6,141.87,138.87,141.87,1906413.0
2018-02-22,137.96,140.48,137.23,138.98,2727812.0,0.0,1.0,137.96,140.48,137.23,138.98,2727812.0
2018-02-21,139.43,140.25,137.34,137.44,2811368.0,0.0,1.0,139.43,140.25,137.34,137.44,2811368.0
2018-02-20,139.16,140.7,138.67,139.24,2217145.0,0.0,1.0,139.16,140.7,138.67,139.24,2217145.0
2018-02-16,135.86,141.05,135.8,140.02,2925613.0,0.0,1.0,135.86,141.05,135.8,140.02,2925613.0
2018-02-15,135.56,136.93,133.045,136.22,3215696.0,0.0,1.0,135.56,136.93,133.045,136.22,3215696.0
2018-02-14,135.03,135.9,132.62,135.48,4790700.0,0.0,1.0,135.03,135.9,132.62,135.48,4790700.0
2018-02-13,136.03,136.92,134.86,136.31,3495988.0,0.0,1.0,136.03,136.92,134.86,136.31,3495988.0
2018-02-12,136.99,137.23,133.83,136.23,3817718.0,0.0,1.0,136.99,137.23,133.83,136.23,3817718.0
2018-02-09,134.35,136.93,130.37,136.05,3961314.0,0.0,1.0,134.35,136.93,130.37,136.05,3961314.0
2018-02-08,139.88,140.93,133.46,133.57,3745764.0,0.0,1.0,139.88,140.93,133.46,133.57,3745764.0
