Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.5,23.52,22.92,23.05,3501442.0,0.0,1.0,23.5,23.52,22.92,23.05,3501442.0
2018-03-26,23.1,23.39,22.81,23.38,3020260.0,0.0,1.0,23.1,23.39,22.81,23.38,3020260.0
2018-03-23,22.91,23.23,22.57,22.75,4188651.0,0.0,1.0,22.91,23.23,22.57,22.75,4188651.0
2018-03-22,23.92,23.98,22.655,22.68,4485345.0,0.0,1.0,23.92,23.98,22.655,22.68,4485345.0
2018-03-21,24.09,24.55,23.95,24.16,2047153.0,0.0,1.0,24.09,24.55,23.95,24.16,2047153.0
2018-03-20,24.07,24.25,23.82,24.09,4621905.0,0.0,1.0,24.07,24.25,23.82,24.09,4621905.0
2018-03-19,24.47,24.546,23.8,24.03,3487422.0,0.0,1.0,24.47,24.546,23.8,24.03,3487422.0
2018-03-16,24.33,24.68,24.11,24.56,5289074.0,0.0,1.0,24.33,24.68,24.11,24.56,5289074.0
2018-03-15,24.13,24.32,23.85,24.24,3794332.0,0.0,1.0,24.13,24.32,23.85,24.24,3794332.0
2018-03-14,25.01,25.1,23.8899,24.06,4987702.0,0.0,1.0,25.01,25.1,23.8899,24.06,4987702.0
2018-03-13,25.05,25.22,24.84,24.95,3134295.0,0.0,1.0,25.05,25.22,24.84,24.95,3134295.0
2018-03-12,25.22,25.24,24.72,24.93,3100840.0,0.0,1.0,25.22,25.24,24.72,24.93,3100840.0
2018-03-09,24.94,25.19,24.77,25.19,2314308.0,0.0,1.0,24.94,25.19,24.77,25.19,2314308.0
2018-03-08,24.75,24.87,24.355,24.8,2163553.0,0.0,1.0,24.75,24.87,24.355,24.8,2163553.0
2018-03-07,24.28,24.73,24.22,24.62,1969543.0,0.0,1.0,24.28,24.73,24.22,24.62,1969543.0
2018-03-06,24.45,24.75,24.38,24.55,3446301.0,0.0,1.0,24.45,24.75,24.38,24.55,3446301.0
2018-03-05,23.7,24.435,23.63,24.33,3767970.0,0.0,1.0,23.7,24.435,23.63,24.33,3767970.0
2018-03-02,23.84,24.1,23.4,23.91,2803108.0,0.0,1.0,23.84,24.1,23.4,23.91,2803108.0
2018-03-01,24.46,24.66,23.83,24.02,3461488.0,0.0,1.0,24.46,24.66,23.83,24.02,3461488.0
2018-02-28,24.82,25.025,24.39,24.39,5232188.0,0.0,1.0,24.82,25.025,24.39,24.39,5232188.0
2018-02-27,25.14,25.34,24.71,24.74,2726458.0,0.0,1.0,25.14,25.34,24.71,24.74,2726458.0
2018-02-26,25.22,25.29,24.995,25.13,2514935.0,0.0,1.0,25.22,25.29,24.995,25.13,2514935.0
2018-02-23,24.59,25.14,24.53,25.13,3621116.0,0.0,1.0,24.59,25.14,24.53,25.13,3621116.0
2018-02-22,24.83,24.995,24.435,24.54,2518215.0,0.0,1.0,24.83,24.995,24.435,24.54,2518215.0
2018-02-21,24.91,25.41,24.65,24.66,2627083.0,0.0,1.0,24.91,25.41,24.65,24.66,2627083.0
2018-02-20,25.1,25.47,24.755,24.86,3316260.0,0.0,1.0,25.1,25.47,24.755,24.86,3316260.0
2018-02-16,25.18,25.87,25.07,25.36,5351530.0,0.0,1.0,25.18,25.87,25.07,25.36,5351530.0
2018-02-15,25.74,25.76,24.91,25.22,4485553.0,0.0,1.0,25.74,25.76,24.91,25.22,4485553.0
2018-02-14,24.55,25.7,24.55,25.48,4538961.0,0.0,1.0,24.55,25.7,24.55,25.48,4538961.0
2018-02-13,24.61,24.87,24.465,24.78,5314966.0,0.0,1.0,24.61,24.87,24.465,24.78,5314966.0
2018-02-12,24.81,25.18,24.53,24.84,4935437.0,0.0,1.0,24.81,25.18,24.53,24.84,4935437.0
2018-02-09,24.65,24.9,23.32,24.66,8102602.0,0.0,1.0,24.65,24.9,23.32,24.66,8102602.0
2018-02-08,25.13,25.19,24.19,24.45,7444028.0,0.0,1.0,25.13,25.19,24.19,24.45,7444028.0
2018-02-07,25.1,25.46,24.87,25.1,5546356.0,0.0,1.0,25.1,25.46,24.87,25.1,5546356.0
2018-02-06,26.19,26.4,25.0006,25.28,9969608.0,0.0,1.0,26.19,26.4,25.0006,25.28,9969608.0
2018-02-05,27.4,27.71,25.84,26.52,10828813.0,0.0,1.0,27.4,27.71,25.84,26.52,10828813.0
2018-02-02,29.76,29.76,28.83,29.11,7601757.0,0.0,1.0,29.76,29.76,28.83,29.11,7601757.0
2018-02-01,29.75,30.3889,29.72,30.11,2808421.0,0.0,1.0,29.75,30.3889,29.72,30.11,2808421.0
2018-01-31,30.0,30.51,29.77,30.06,3384860.0,0.0,1.0,30.0,30.51,29.77,30.06,3384860.0
