Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,174.1,177.24,171.82,172.55,29628.0,0.0,1.0,174.1,177.24,171.82,172.55,29628.0
2018-03-26,171.71,174.255,170.8,173.56,43834.0,0.0,1.0,171.71,174.255,170.8,173.56,43834.0
2018-03-23,175.42,175.615,168.54,169.59,26755.0,0.0,1.0,175.42,175.615,168.54,169.59,26755.0
2018-03-22,175.45,177.32,174.5,175.67,46837.0,0.0,1.0,175.45,177.32,174.5,175.67,46837.0
2018-03-21,178.78,179.04,176.5,176.5,22165.0,0.0,1.0,178.78,179.04,176.5,176.5,22165.0
2018-03-20,179.5,180.99,177.01,179.1,26394.0,0.0,1.0,179.5,180.99,177.01,179.1,26394.0
2018-03-19,182.0,182.2,178.21,179.35,45223.0,0.0,1.0,182.0,182.2,178.21,179.35,45223.0
2018-03-16,179.84,182.69,179.01,182.44,72763.0,0.0,1.0,179.84,182.69,179.01,182.44,72763.0
2018-03-15,183.9,184.5848,179.12,179.5,53602.0,0.0,1.0,183.9,184.5848,179.12,179.5,53602.0
2018-03-14,186.71,187.5,183.45,183.91,44180.0,0.0,1.0,186.71,187.5,183.45,183.91,44180.0
2018-03-13,187.89,188.22,186.0,186.49,34993.0,0.0,1.0,187.89,188.22,186.0,186.49,34993.0
2018-03-12,187.82,189.99,186.135,187.48,30823.0,0.0,1.0,187.82,189.99,186.135,187.48,30823.0
2018-03-09,189.33,190.24,185.1584,187.86,47282.0,0.0,1.0,189.33,190.24,185.1584,187.86,47282.0
2018-03-08,185.99,189.7,185.31,188.81,32128.0,0.0,1.0,185.99,189.7,185.31,188.81,32128.0
2018-03-07,185.53,189.93,184.19,185.31,48461.0,0.0,1.0,185.53,189.93,184.19,185.31,48461.0
2018-03-06,185.86,189.0,184.46,188.78,59423.0,0.0,1.0,185.86,189.0,184.46,188.78,59423.0
2018-03-05,189.16,190.49,185.95,186.0,45515.0,0.0,1.0,189.16,190.49,185.95,186.0,45515.0
2018-03-02,184.81,192.84,183.27,191.2,73340.0,0.0,1.0,184.81,192.84,183.27,191.2,73340.0
2018-03-01,187.17,189.33,182.06,185.51,42431.0,0.0,1.0,187.17,189.33,182.06,185.51,42431.0
2018-02-28,187.19,190.82,183.47,186.61,58573.0,0.0,1.0,187.19,190.82,183.47,186.61,58573.0
2018-02-27,185.46,187.1,182.2,182.2,61287.0,0.0,1.0,185.46,187.1,182.2,182.2,61287.0
2018-02-26,182.83,186.31,182.83,185.62,52546.0,0.0,1.0,182.83,186.31,182.83,185.62,52546.0
2018-02-23,183.35,184.0,181.5,182.17,36127.0,0.0,1.0,183.35,184.0,181.5,182.17,36127.0
2018-02-22,183.75,185.44,182.01,183.04,44427.0,0.0,1.0,183.75,185.44,182.01,183.04,44427.0
2018-02-21,185.95,188.205,183.09,183.52,46378.0,0.0,1.0,185.95,188.205,183.09,183.52,46378.0
2018-02-20,190.44,190.44,185.0,185.73,34243.0,0.0,1.0,190.44,190.44,185.0,185.73,34243.0
2018-02-16,191.11,194.84900000000002,188.89,190.69,42522.0,0.0,1.0,191.11,194.84900000000002,188.89,190.69,42522.0
2018-02-15,185.03,190.2,185.0,189.02,31751.0,0.0,1.0,185.03,190.2,185.0,189.02,31751.0
2018-02-14,182.71,185.965,182.71,183.79,36438.0,0.0,1.0,182.71,185.965,182.71,183.79,36438.0
2018-02-13,181.1,184.99,180.0,183.41,56489.0,0.0,1.0,181.1,184.99,180.0,183.41,56489.0
2018-02-12,184.11,185.64,180.48,180.97,63385.0,0.0,1.0,184.11,185.64,180.48,180.97,63385.0
2018-02-09,184.48,187.475,178.49,181.87,49516.0,0.0,1.0,184.48,187.475,178.49,181.87,49516.0
2018-02-08,187.61,188.6097,182.76,183.42,52427.0,0.0,1.0,187.61,188.6097,182.76,183.42,52427.0
2018-02-07,185.03,189.07,184.0,187.61,40054.0,0.0,1.0,185.03,189.07,184.0,187.61,40054.0
2018-02-06,182.09,188.3097,180.39,184.56,66883.0,0.0,1.0,182.09,188.3097,180.39,184.56,66883.0
2018-02-05,198.43,199.0,186.18,186.65,62349.0,0.0,1.0,198.43,199.0,186.18,186.65,62349.0
2018-02-02,201.51,204.96,198.03,199.24,92952.0,0.0,1.0,201.51,204.96,198.03,199.24,92952.0
2018-02-01,201.78,206.26,201.35,202.84,80168.0,0.0,1.0,201.78,206.26,201.35,202.84,80168.0
2018-01-31,203.0,204.105,201.0,202.52,36285.0,0.0,1.0,203.0,204.105,201.0,202.52,36285.0
2018-01-30,201.28,204.09,201.08,203.1,30962.0,0.0,1.0,201.28,204.09,201.08,203.1,30962.0
2018-01-29,205.91,207.495,201.78,202.06,60174.0,0.0,1.0,205.91,207.495,201.78,202.06,60174.0
