Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,37.21,37.22,36.25,36.48,8811943.0,0.0,1.0,37.21,37.22,36.25,36.48,8811943.0
2018-03-26,36.59,37.13,36.3,37.03,9143000.0,0.0,1.0,36.59,37.13,36.3,37.03,9143000.0
2018-03-23,36.78,37.075,36.09,36.12,6616963.0,0.0,1.0,36.78,37.075,36.09,36.12,6616963.0
2018-03-22,36.54,37.11,36.19,36.75,10271922.0,0.0,1.0,36.54,37.11,36.19,36.75,10271922.0
2018-03-21,36.65,37.18,36.6,36.86,7668752.0,0.0,1.0,36.65,37.18,36.6,36.86,7668752.0
2018-03-20,36.91,37.09,36.56,36.69,10553021.0,0.0,1.0,36.91,37.09,36.56,36.69,10553021.0
2018-03-19,36.95,37.12,36.415,36.78,7249051.0,0.0,1.0,36.95,37.12,36.415,36.78,7249051.0
2018-03-16,37.3,37.6,37.13,37.14,11425140.0,0.0,1.0,37.3,37.6,37.13,37.14,11425140.0
2018-03-15,37.64,37.73,37.13,37.15,5535143.0,0.0,1.0,37.64,37.73,37.13,37.15,5535143.0
2018-03-14,37.52,37.7799,37.39,37.69,5020094.0,0.0,1.0,37.52,37.7799,37.39,37.69,5020094.0
2018-03-13,38.0,38.16,37.24,37.41,5740687.0,0.0,1.0,38.0,38.16,37.24,37.41,5740687.0
2018-03-12,37.73,38.27,37.58,37.98,6027801.0,0.0,1.0,37.73,38.27,37.58,37.98,6027801.0
2018-03-09,37.32,37.75,37.27,37.73,6118212.0,0.0,1.0,37.32,37.75,37.27,37.73,6118212.0
2018-03-08,37.18,37.445,36.93,37.18,4969777.0,0.0,1.0,37.18,37.445,36.93,37.18,4969777.0
2018-03-07,37.24,37.48,36.67,37.02,7465016.0,0.0,1.0,37.24,37.48,36.67,37.02,7465016.0
2018-03-06,36.64,37.55,36.525,37.54,7878395.0,0.0,1.0,36.64,37.55,36.525,37.54,7878395.0
2018-03-05,36.14,37.135,36.0,36.65,7910316.0,0.0,1.0,36.14,37.135,36.0,36.65,7910316.0
2018-03-02,35.86,36.465,35.53,36.37,12111025.0,0.0,1.0,35.86,36.465,35.53,36.37,12111025.0
2018-03-01,36.82,37.11,35.82,35.92,14516840.0,0.0,1.0,36.82,37.11,35.82,35.92,14516840.0
2018-02-28,37.76,37.98,36.82,36.82,12730904.0,0.0,1.0,37.76,37.98,36.82,36.82,12730904.0
2018-02-27,38.41,38.68,37.6,37.63,13520026.0,0.0,1.0,38.41,38.68,37.6,37.63,13520026.0
2018-02-26,38.07,38.87,38.02,38.81,5024693.0,0.0,1.0,38.07,38.87,38.02,38.81,5024693.0
2018-02-23,37.4,38.04,37.13,38.01,4936699.0,0.0,1.0,37.4,38.04,37.13,38.01,4936699.0
2018-02-22,37.24,37.42,37.01,37.16,5237733.0,0.0,1.0,37.24,37.42,37.01,37.16,5237733.0
2018-02-21,37.14,37.69,37.03,37.05,4509093.0,0.0,1.0,37.14,37.69,37.03,37.05,4509093.0
2018-02-20,37.32,37.61,37.03,37.13,5956242.0,0.0,1.0,37.32,37.61,37.03,37.13,5956242.0
2018-02-16,36.89,37.71,36.86,37.46,5508046.0,0.0,1.0,36.89,37.71,36.86,37.46,5508046.0
2018-02-15,36.7,37.07,36.495,36.96,5134833.0,0.0,1.0,36.7,37.07,36.495,36.96,5134833.0
2018-02-14,36.19,36.835,36.19,36.55,6903701.0,0.0,1.0,36.19,36.835,36.19,36.55,6903701.0
2018-02-13,35.99,36.82,35.87,36.58,7123304.0,0.0,1.0,35.99,36.82,35.87,36.58,7123304.0
2018-02-12,36.34,36.9,36.18,36.4,12275628.0,0.0,1.0,36.34,36.9,36.18,36.4,12275628.0
2018-02-09,34.77,35.95,34.12,35.65,16276901.0,0.0,1.0,34.77,35.95,34.12,35.65,16276901.0
2018-02-08,36.09,36.35,34.53,34.53,9516625.0,0.0,1.0,36.09,36.35,34.53,34.53,9516625.0
2018-02-07,36.84,37.41,35.99,36.06,7355387.0,0.0,1.0,36.84,37.41,35.99,36.06,7355387.0
2018-02-06,35.43,36.81,35.15,36.8,11513466.0,0.0,1.0,35.43,36.81,35.15,36.8,11513466.0
