Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,98.5,98.82,96.54,97.28,572349.0,0.0,1.0,98.5,98.82,96.54,97.28,572349.0
2018-03-26,96.7,98.45,96.135,98.27,411457.0,0.0,1.0,96.7,98.45,96.135,98.27,411457.0
2018-03-23,96.34,97.37,95.385,95.47,756932.0,0.0,1.0,96.34,97.37,95.385,95.47,756932.0
2018-03-22,97.26,98.0,96.42,96.48,564965.0,0.0,1.0,97.26,98.0,96.42,96.48,564965.0
2018-03-21,98.38,99.25,98.14,98.33,380962.0,0.0,1.0,98.38,99.25,98.14,98.33,380962.0
2018-03-20,98.3,98.61,97.65,98.18,376327.0,0.0,1.0,98.3,98.61,97.65,98.18,376327.0
2018-03-19,97.88,98.69,96.5703,97.75,917619.0,0.0,1.0,97.88,98.69,96.5703,97.75,917619.0
2018-03-16,97.85,98.74,97.85,98.19,871791.0,0.0,1.0,97.85,98.74,97.85,98.19,871791.0
2018-03-15,98.53,98.7,97.83,98.11,350034.0,0.0,1.0,98.53,98.7,97.83,98.11,350034.0
2018-03-14,99.49,99.49,98.0,98.59,360489.0,0.0,1.0,99.49,99.49,98.0,98.59,360489.0
2018-03-13,99.56,99.97,98.59,98.89,369846.0,0.0,1.0,99.56,99.97,98.59,98.89,369846.0
2018-03-12,99.52,99.81,99.16,99.54,332426.0,0.0,1.0,99.52,99.81,99.16,99.54,332426.0
2018-03-09,98.39,99.69,97.8,99.68,426063.0,0.0,1.0,98.39,99.69,97.8,99.68,426063.0
2018-03-08,97.23,97.89,96.83,97.61,336628.0,0.0,1.0,97.23,97.89,96.83,97.61,336628.0
2018-03-07,95.29,96.96,95.29,96.65,459132.0,0.0,1.0,95.29,96.96,95.29,96.65,459132.0
2018-03-06,95.47,96.32,95.21,96.18,323252.0,0.0,1.0,95.47,96.32,95.21,96.18,323252.0
2018-03-05,94.08,95.99,93.6174,95.44,628050.0,0.0,1.0,94.08,95.99,93.6174,95.44,628050.0
2018-03-02,93.18,95.15,93.03,94.92,444933.0,0.0,1.0,93.18,95.15,93.03,94.92,444933.0
2018-03-01,94.87,95.13,92.75,93.96,648174.0,0.0,1.0,94.87,95.13,92.75,93.96,648174.0
2018-02-28,96.03,96.93,95.06,95.27,594402.0,0.0,1.0,96.03,96.93,95.06,95.27,594402.0
2018-02-27,96.51,97.55,95.5,95.5,736890.0,0.0,1.0,96.51,97.55,95.5,95.5,736890.0
2018-02-26,95.44,96.58,95.02,96.4,691829.0,0.0,1.0,95.44,96.58,95.02,96.4,691829.0
2018-02-23,94.43,95.45,93.46,95.42,412685.0,0.0,1.0,94.43,95.45,93.46,95.42,412685.0
2018-02-22,93.79,94.9,93.55,93.78,715843.0,0.0,1.0,93.79,94.9,93.55,93.78,715843.0
2018-02-21,93.4,94.95,93.15,93.2,640270.0,0.0,1.0,93.4,94.95,93.15,93.2,640270.0
2018-02-20,93.0,93.73,92.595,92.83,655346.0,0.0,1.0,93.0,93.73,92.595,92.83,655346.0
2018-02-16,93.91,95.15,93.76,93.81,778697.0,0.0,1.0,93.91,95.15,93.76,93.81,778697.0
2018-02-15,93.23,94.43,92.8,94.19,621963.0,0.0,1.0,93.23,94.43,92.8,94.19,621963.0
2018-02-14,90.63,93.85,90.41,93.47,748347.0,0.0,1.0,90.63,93.85,90.41,93.47,748347.0
2018-02-13,90.89,91.95,90.21,91.52,423274.0,0.0,1.0,90.89,91.95,90.21,91.52,423274.0
2018-02-12,91.73,92.44,90.47,91.73,662458.0,0.0,1.0,91.73,92.44,90.47,91.73,662458.0
2018-02-09,90.26,91.81,87.6701,91.05,812276.0,0.0,1.0,90.26,91.81,87.6701,91.05,812276.0
2018-02-08,92.52,92.96,89.22,89.26,762939.0,0.0,1.0,92.52,92.96,89.22,89.26,762939.0
2018-02-07,93.32,94.93,92.56,92.59,845810.0,0.0,1.0,93.32,94.93,92.56,92.59,845810.0
2018-02-06,91.79,95.52,91.47,95.05,1202495.0,0.0,1.0,91.79,95.52,91.47,95.05,1202495.0
2018-02-05,95.99,97.405,93.14,93.33,1001908.0,0.0,1.0,95.99,97.405,93.14,93.33,1001908.0
2018-02-02,98.75,99.14,96.82,96.97,760811.0,0.0,1.0,98.75,99.14,96.82,96.97,760811.0
2018-02-01,100.25,101.37,99.29,99.65,742316.0,0.0,1.0,100.25,101.37,99.29,99.65,742316.0
2018-01-31,101.23,101.49,100.08,100.79,793740.0,0.0,1.0,101.23,101.49,100.08,100.79,793740.0
2018-01-30,99.88,102.25,98.9,100.67,1253003.0,0.0,1.0,99.88,102.25,98.9,100.67,1253003.0
2018-01-29,102.8,103.58,102.44,102.82,721126.0,0.0,1.0,102.8,103.58,102.44,102.82,721126.0
2018-01-26,101.78,102.98,101.2,102.8,659619.0,0.0,1.0,101.78,102.98,101.2,102.8,659619.0
2018-01-25,100.68,101.95,99.75,101.62,900711.0,0.0,1.0,100.68,101.95,99.75,101.62,900711.0
2018-01-24,99.6,100.89,99.25,100.22,1919133.0,0.0,1.0,99.6,100.89,99.25,100.22,1919133.0
2018-01-23,98.73,104.78,97.37,100.35,4687725.0,0.0,1.0,98.73,104.78,97.37,100.35,4687725.0
2018-01-22,88.37,88.65,87.1,87.51,1059297.0,0.0,1.0,88.37,88.65,87.1,87.51,1059297.0
2018-01-19,89.21,89.72,88.51,88.68,855069.0,0.0,1.0,89.21,89.72,88.51,88.68,855069.0
2018-01-18,88.15,89.21,87.91,88.79,567780.0,0.0,1.0,88.15,89.21,87.91,88.79,567780.0
2018-01-17,88.27,89.1,87.81,88.73,569227.0,0.0,1.0,88.27,89.1,87.81,88.73,569227.0
2018-01-16,88.18,88.33,87.6,87.86,559429.0,0.0,1.0,88.18,88.33,87.6,87.86,559429.0
2018-01-12,87.13,87.935,86.67,87.78,339177.0,0.0,1.0,87.13,87.935,86.67,87.78,339177.0
2018-01-11,86.49,87.06,86.26,87.04,337867.0,0.0,1.0,86.49,87.06,86.26,87.04,337867.0
2018-01-10,87.32,87.61,86.44,87.1,340011.0,0.0,1.0,87.32,87.61,86.44,87.1,340011.0
2018-01-09,87.93,88.47,87.22,88.0,463477.0,0.0,1.0,87.93,88.47,87.22,88.0,463477.0
2018-01-08,87.67,88.49,87.235,88.19,713552.0,0.0,1.0,87.67,88.49,87.235,88.19,713552.0
2018-01-05,86.59,87.69,86.12,87.69,531585.0,0.0,1.0,86.59,87.69,86.12,87.69,531585.0
2018-01-04,86.54,86.85,86.2301,86.54,627529.0,0.0,1.0,86.54,86.85,86.2301,86.54,627529.0
2018-01-03,85.38,86.65,85.31,86.42,480780.0,0.0,1.0,85.38,86.65,85.31,86.42,480780.0
