Predicted Close,Date
2.622042,2015-02-04
2.6394246,2015-02-05
2.6307316,2015-02-06
2.622042,2015-02-07
2.6307316,2015-02-08
2.7003658,2015-02-09
2.770206,2015-02-10
2.7789502,2015-02-11
2.770206,2015-02-12
2.8227198,2015-02-13
2.8841293,2015-02-14
2.963309,2015-02-15
3.0250654,2015-02-16
2.936888,2015-02-17
2.9104946,2015-02-18
2.9280872,2015-02-19
2.936888,2015-02-20
2.8929148,2015-02-21
2.8929148,2015-02-22
2.8885217,2015-02-23
2.9104946,2015-02-24
2.936888,2015-02-25
2.972122,2015-02-26
2.9456916,2015-02-27
2.9017031,2015-02-28
2.8753474,2015-03-01
2.8753474,2015-03-02
2.866568,2015-03-03
3.1135473,2015-03-04
2.7090845,2015-03-05
