Predicted Close,Date
94.39724,2015-02-04
94.35162,2015-02-05
93.766,2015-02-06
93.298775,2015-02-07
93.07209,2015-02-08
93.91549,2015-02-09
94.24087,2015-02-10
94.462425,2015-02-11
95.22667,2015-02-12
94.925865,2015-02-13
95.043526,2015-02-14
95.18086,2015-02-15
93.83748,2015-02-16
93.27934,2015-02-17
92.63247,2015-02-18
93.24046,2015-02-19
93.38305,2015-02-20
92.916794,2015-02-21
92.509834,2015-02-22
93.00089,2015-02-23
92.80043,2015-02-24
94.19528,2015-02-25
92.90387,2015-02-26
93.85698,2015-02-27
93.90899,2015-02-28
92.97501,2015-03-01
94.149704,2015-03-02
94.514595,2015-03-03
94.15621,2015-03-04
93.98702,2015-03-05
93.69454,2015-03-06
93.967514,2015-03-07
94.70381,2015-03-08
94.54069,2015-03-09
94.74298,2015-03-10
94.28646,2015-03-11
93.07209,2015-03-12
93.499794,2015-03-13
93.53224,2015-03-14
94.377686,2015-03-15
93.519264,2015-03-16
93.0203,2015-03-17
93.11092,2015-03-18
94.17575,2015-03-19
93.42196,2015-03-20
94.10414,2015-03-21
93.441414,2015-03-22
94.90627,2015-03-23
94.534164,2015-03-24
94.618965,2015-03-25
95.089294,2015-03-26
95.01083,2015-03-27
94.39724,2015-03-28
94.95855,2015-03-29
95.12854,2015-03-30
95.56064,2015-03-31
94.52112,2015-04-01
94.08462,2015-04-02
94.26692,2015-04-03
94.45591,2015-04-04
94.63202,2015-04-05
95.409966,2015-04-06
95.63274,2015-04-07
96.40097,2015-04-08
95.573746,2015-04-09
95.36412,2015-04-10
93.85698,2015-04-11
95.167786,2015-04-12
95.089294,2015-04-13
94.54069,2015-04-14
94.716866,2015-04-15
95.82292,2015-04-16
96.138054,2015-04-17
96.1709,2015-04-18
94.143196,2015-04-19
94.74298,2015-04-20
93.83748,2015-04-21
94.15621,2015-04-22
93.91549,2015-04-23
95.23975,2015-04-24
94.16924,2015-04-25
94.13018,2015-04-26
95.44271,2015-04-27
95.462364,2015-04-28
97.19135,2015-04-29
96.74317,2015-04-30
96.55885,2015-05-01
97.29691,2015-05-02
97.1254,2015-05-03
96.95399,2015-05-04
96.27605,2015-05-05
94.18226,2015-05-06
95.93448,2015-05-07
95.409966,2015-05-08
94.57982,2015-05-09
95.193954,2015-05-10
95.20704,2015-05-11
95.324844,2015-05-12
95.043526,2015-05-13
95.03699,2015-05-14
95.30521,2015-05-15
95.521324,2015-05-16
94.886665,2015-05-17
97.42232,2015-05-18
96.27605,2015-05-19
