Predicted Close,Date
444.9613,2015-02-04
445.9243,2015-02-05
445.7397,2015-02-06
443.83792,2015-02-07
441.40472,2015-02-08
446.14926,2015-02-09
447.30377,2015-02-10
447.73126,2015-02-11
450.71048,2015-02-12
445.1054,2015-02-13
444.31595,2015-02-14
446.8938,2015-02-15
440.22742,2015-02-16
439.91174,2015-02-17
437.8535,2015-02-18
441.4392,2015-02-19
443.19315,2015-02-20
441.92773,2015-02-21
438.89075,2015-02-22
437.7561,2015-02-23
439.7339,2015-02-24
441.9335,2015-02-25
445.27835,2015-02-26
442.0542,2015-02-27
442.01398,2015-02-28
441.0428,2015-03-01
439.51584,2015-03-02
442.30145,2015-03-03
438.88504,2015-03-04
440.12408,2015-03-05
442.42224,2015-03-06
437.96234,2015-03-07
436.73135,2015-03-08
438.75314,2015-03-09
439.18893,2015-03-10
442.79614,2015-03-11
439.68796,2015-03-12
442.07147,2015-03-13
443.12408,2015-03-14
443.60757,2015-03-15
439.6937,2015-03-16
435.23883,2015-03-17
436.4338,2015-03-18
437.4927,2015-03-19
437.39532,2015-03-20
436.7714,2015-03-21
441.1232,2015-03-22
441.08875,2015-03-23
446.41467,2015-03-24
450.19507,2015-03-25
418.7292,2015-03-26
418.62222,2015-03-27
419.39908,2015-03-28
418.45905,2015-03-29
410.6401,2015-03-30
416.50858,2015-03-31
415.0551,2015-04-01
415.98645,2015-04-02
414.44406,2015-04-03
414.6066,2015-04-04
415.1056,2015-04-05
413.79413,2015-04-06
409.99817,2015-04-07
411.4668,2015-04-08
408.79364,2015-04-09
407.68234,2015-04-10
408.71002,2015-04-11
410.09863,2015-04-12
407.85214,2015-04-13
406.0664,2015-04-14
408.07492,2015-04-15
409.81964,2015-04-16
410.38885,2015-04-17
412.2774,2015-04-18
409.34552,2015-04-19
410.40283,2015-04-20
408.6097,2015-04-21
409.4069,2015-04-22
407.86328,2015-04-23
409.90332,2015-04-24
405.52185,2015-04-25
407.2677,2015-04-26
412.31656,2015-04-27
413.1726,2015-04-28
417.51425,2015-04-29
414.64584,2015-04-30
415.7058,2015-05-01
416.2924,2015-05-02
413.2118,2015-05-03
415.81247,2015-05-04
416.13235,2015-05-05
412.3333,2015-05-06
413.2006,2015-05-07
415.1729,2015-05-08
412.55988,2015-05-09
409.41803,2015-05-10
410.56747,2015-05-11
414.14703,2015-05-12
411.53946,2015-05-13
410.4056,2015-05-14
409.2089,2015-05-15
407.85214,2015-05-16
409.92563,2015-05-17
409.70807,2015-05-18
404.62234,2015-05-19
