Predicted Close,Date
11.540249,2015-02-04
11.580593,2015-02-05
11.563293,2015-02-06
11.609456,2015-02-07
11.725276,2015-02-08
11.923508,2015-02-09
11.8533535,2015-02-10
11.9528,2015-02-11
11.9528,2015-02-12
11.964526,2015-02-13
12.06443,2015-02-14
12.058543,2015-02-15
12.082103,2015-02-16
12.117485,2015-02-17
12.105685,2015-02-18
12.1411,2015-02-19
12.158826,2015-02-20
12.206157,2015-02-21
12.218002,2015-02-22
12.253573,2015-02-23
12.354624,2015-02-24
12.402311,2015-02-25
12.468019,2015-02-26
12.474001,2015-02-27
12.354624,2015-02-28
12.402311,2015-03-01
12.509916,2015-03-02
12.575882,2015-03-03
12.557877,2015-03-04
12.666089,2015-03-05
12.702252,2015-03-06
12.7445,2015-03-07
12.750541,2015-03-08
12.944488,2015-03-09
13.029734,2015-03-10
13.090768,2015-03-11
13.084658,2015-03-12
13.035832,2015-03-13
13.096877,2015-03-14
13.200925,2015-03-15
13.133562,2015-03-16
13.127443,2015-03-17
13.200925,2015-03-18
13.31761,2015-03-19
13.403852,2015-03-20
12.956652,2015-03-21
13.06634,2015-03-22
12.993172,2015-03-23
12.974907,2015-03-24
12.835237,2015-03-25
12.817067,2015-03-26
13.048032,2015-03-27
13.017541,2015-03-28
13.054133,2015-03-29
12.980993,2015-03-30
12.974907,2015-03-31
12.908026,2015-04-01
12.926251,2015-04-02
12.877676,2015-04-03
12.792857,2015-04-04
12.829179,2015-04-05
13.1091,2015-04-06
12.962735,2015-04-07
12.9201765,2015-04-08
12.786808,2015-04-09
12.702252,2015-04-10
12.654044,2015-04-11
12.678138,2015-04-12
12.521898,2015-04-13
12.6299715,2015-04-14
12.684165,2015-04-15
12.756582,2015-04-16
12.702252,2015-04-17
12.684165,2015-04-18
12.678138,2015-04-19
12.871609,2015-04-20
12.738461,2015-04-21
12.877676,2015-04-22
13.048032,2015-04-23
13.188667,2015-04-24
13.060236,2015-04-25
13.005354,2015-04-26
13.127443,2015-04-27
13.607999,2015-04-28
13.54601,2015-04-29
13.676309,2015-04-30
14.044855,2015-05-01
13.900762,2015-05-02
13.800838,2015-05-03
14.000944,2015-05-04
13.932041,2015-05-05
14.397837,2015-05-06
14.252503,2015-05-07
14.429496,2015-05-08
14.562708,2015-05-09
14.467516,2015-05-10
14.404167,2015-05-11
14.442165,2015-05-12
14.34091,2015-05-13
14.220974,2015-05-14
14.5055685,2015-05-15
14.34091,2015-05-16
14.926199,2015-05-17
15.247207,2015-05-18
14.83028,2015-05-19
