Predicted Close,Date
31.093185,2015-02-04
31.135897,2015-02-05
31.188057,2015-02-06
31.173838,2015-02-07
31.1525,2015-02-08
31.44817,2015-02-09
31.334812,2015-02-10
31.405687,2015-02-11
31.542458,2015-02-12
31.495333,2015-02-13
31.478832,2015-02-14
31.476473,2015-02-15
31.211754,2015-02-16
30.998161,2015-02-17
30.922043,2015-02-18
30.814844,2015-02-19
31.031437,2015-02-20
31.15961,2015-02-21
31.259115,2015-02-22
31.417492,2015-02-23
31.735233,2015-02-24
31.457607,2015-02-25
31.509474,2015-02-26
31.500048,2015-02-27
31.490618,2015-02-28
31.495333,2015-03-01
31.074192,2015-03-02
31.097933,2015-03-03
30.979143,2015-03-04
31.121664,2015-03-05
31.1928,2015-03-06
31.320627,2015-03-07
31.207016,2015-03-08
31.040941,2015-03-09
30.456285,2015-03-10
30.285952,2015-03-11
30.305162,2015-03-12
30.583185,2015-03-13
29.985188,2015-03-14
30.252317,2015-03-15
30.336372,2015-03-16
30.573614,2015-03-17
30.855362,2015-03-18
31.225967,2015-03-19
30.926804,2015-03-20
30.745668,2015-03-21
30.664473,2015-03-22
30.42992,2015-03-23
30.688364,2015-03-24
30.912521,2015-03-25
31.35372,2015-03-26
31.301706,2015-03-27
31.278048,2015-03-28
31.50476,2015-03-29
30.955357,2015-03-30
31.135897,2015-03-31
31.230703,2015-04-01
31.021933,2015-04-02
31.064695,2015-04-03
31.069447,2015-04-04
31.150126,2015-04-05
30.974386,2015-04-06
31.012426,2015-04-07
30.912521,2015-04-08
30.645353,2015-04-09
30.050241,2015-04-10
29.977955,2015-04-11
30.136906,2015-04-12
30.223482,2015-04-13
30.059875,2015-04-14
30.35797,2015-04-15
30.817228,2015-04-16
30.836298,2015-04-17
30.788612,2015-04-18
30.48743,2015-04-19
30.405945,2015-04-20
30.626232,2015-04-21
30.862509,2015-04-22
30.587967,2015-04-23
30.759985,2015-04-24
30.76476,2015-04-25
30.748055,2015-04-26
30.957735,2015-04-27
31.08844,2015-04-28
31.315895,2015-04-29
31.429293,2015-04-30
31.521257,2015-05-01
30.883945,2015-05-02
30.717022,2015-05-03
30.786228,2015-05-04
31.021933,2015-05-05
31.050444,2015-05-06
30.733732,2015-05-07
30.059875,2015-05-08
30.141718,2015-05-09
30.045425,2015-05-10
29.997238,2015-05-11
30.309963,2015-05-12
29.777666,2015-05-13
29.898375,2015-05-14
30.016514,2015-05-15
29.635042,2015-05-16
29.56487,2015-05-17
29.218227,2015-05-18
29.659231,2015-05-19
