Predicted Close,Date
80.46938,2015-02-04
80.28364,2015-02-05
80.0215,2015-02-06
79.226166,2015-02-07
79.25036,2015-02-08
80.79277,2015-02-09
80.77164,2015-02-10
81.39354,2015-02-11
80.70125,2015-02-12
78.52074,2015-02-13
77.00758,2015-02-14
77.27344,2015-02-15
76.52541,2015-02-16
76.03975,2015-02-17
75.808044,2015-02-18
76.352066,2015-02-19
76.55212,2015-02-20
76.772804,2015-02-21
75.78161,2015-02-22
75.78161,2015-02-23
76.75941,2015-02-24
76.699165,2015-02-25
76.96057,2015-02-26
75.63311,2015-02-27
75.53098,2015-02-28
74.81047,2015-03-01
75.435585,2015-03-02
75.70237,2015-03-03
74.90502,2015-03-04
75.69577,2015-03-05
75.65619,2015-03-06
75.70237,2015-03-07
75.75519,2015-03-08
75.92049,2015-03-09
75.61662,2015-03-10
76.24559,2015-03-11
74.32347,2015-03-12
73.69236,2015-03-13
74.04583,2015-03-14
74.36878,2015-03-15
74.31377,2015-03-16
74.10384,2015-03-17
73.756485,2015-03-18
74.56329,2015-03-19
74.68027,2015-03-20
74.53732,2015-03-21
75.64629,2015-03-22
75.78822,2015-03-23
76.60555,2015-03-24
76.352066,2015-03-25
76.94043,2015-03-26
78.445404,2015-03-27
77.75705,2015-03-28
77.39827,2015-03-29
75.85102,2015-03-30
76.87334,2015-03-31
77.13871,2015-04-01
77.68584,2015-04-02
77.34426,2015-04-03
76.69248,2015-04-04
76.7795,2015-04-05
76.84986,2015-04-06
76.880035,2015-04-07
76.96057,2015-04-08
76.36872,2015-04-09
76.442024,2015-04-10
76.80965,2015-04-11
77.46922,2015-04-12
77.54023,2015-04-13
77.34426,2015-04-14
77.28355,2015-04-15
78.91226,2015-04-16
78.30861,2015-04-17
77.87928,2015-04-18
77.16901,2015-04-19
75.94035,2015-04-20
74.9246,2015-04-21
74.084496,2015-04-22
74.0716,2015-04-23
74.64125,2015-04-24
73.76291,2015-04-25
73.75007,2015-04-26
74.97357,2015-04-27
75.34359,2015-04-28
76.13928,2015-04-29
75.93042,2015-04-30
75.07816,2015-05-01
75.176346,2015-05-02
74.66726,2015-05-03
75.61003,2015-05-04
75.051994,2015-05-05
74.32994,2015-05-06
74.58277,2015-05-07
75.27141,2015-05-08
74.96051,2015-05-09
73.2134,2015-05-10
72.51095,2015-05-11
72.59912,2015-05-12
72.90869,2015-05-13
73.08626,2015-05-14
72.25343,2015-05-15
71.78509,2015-05-16
71.803764,2015-05-17
72.52039,2015-05-18
72.52983,2015-05-19
