Predicted Close,Date
28.771147,2015-02-04
28.79227,2015-02-05
28.768114,2015-02-06
28.773672,2015-02-07
28.79877,2015-02-08
28.733463,2015-02-09
28.731407,2015-02-10
28.729353,2015-02-11
28.6837,2015-02-12
28.699354,2015-02-13
28.73654,2015-02-14
28.725237,2015-02-15
28.75899,2015-02-16
28.802263,2015-02-17
28.782236,2015-02-18
28.758482,2015-02-19
28.737564,2015-02-20
28.731407,2015-02-21
28.74728,2015-02-22
28.720081,2015-02-23
28.696232,2015-02-24
28.667948,2015-02-25
28.661095,2015-02-26
28.68527,2015-02-27
28.666895,2015-02-28
28.664787,2015-03-01
28.626558,2015-03-02
28.605627,2015-03-03
28.627626,2015-03-04
28.595373,2015-03-05
28.556189,2015-03-06
28.56166,2015-03-07
28.583456,2015-03-08
28.656338,2015-03-09
28.623348,2015-03-10
28.693106,2015-03-11
28.735516,2015-03-12
28.767609,2015-03-13
28.74881,2015-03-14
28.74881,2015-03-15
28.749832,2015-03-16
28.656338,2015-03-17
28.630833,2015-03-18
28.571487,2015-03-19
28.568216,2015-03-20
28.613695,2015-03-21
28.555092,2015-03-22
28.564941,2015-03-23
28.567125,2015-03-24
28.551802,2015-03-25
28.585085,2015-03-26
28.61799,2015-03-27
28.627626,2015-03-28
28.628696,2015-03-29
28.682652,2015-03-30
28.622812,2015-03-31
28.61799,2015-04-01
28.61047,2015-04-02
28.615843,2015-04-03
28.585627,2015-04-04
28.583456,2015-04-05
28.608856,2015-04-06
28.595915,2015-04-07
28.574759,2015-04-08
28.61799,2015-04-09
28.666895,2015-04-10
28.63936,2015-04-11
28.594292,2015-04-12
28.65422,2015-04-13
28.628696,2015-04-14
28.594292,2015-04-15
28.50537,2015-04-16
28.451466,2015-04-17
28.47965,2015-04-18
28.572578,2015-04-19
28.522032,2015-04-20
28.636164,2015-04-21
28.584541,2015-04-22
28.620134,2015-04-23
28.56002,2015-04-24
28.601854,2015-04-25
28.591045,2015-04-26
28.544111,2015-04-27
28.568764,2015-04-28
28.527567,2015-04-29
28.516487,2015-04-30
28.44126,2015-05-01
28.495888,2015-05-02
28.513157,2015-05-03
28.533644,2015-05-04
28.524248,2015-05-05
28.48638,2015-05-06
28.472345,2015-05-07
28.47965,2015-05-08
28.5353,2015-05-09
28.550705,2015-05-10
28.506483,2015-05-11
28.544662,2015-05-12
28.578022,2015-05-13
28.533644,2015-05-14
28.572578,2015-05-15
28.616917,2015-05-16
28.666895,2015-05-17
28.747791,2015-05-18
28.550705,2015-05-19
