Predicted Close,Date
58.637917,2015-02-04
58.612038,2015-02-05
58.60834,2015-02-06
59.007584,2015-02-07
58.66013,2015-02-08
58.82751,2015-02-09
58.939873,2015-02-10
58.981224,2015-02-11
59.155052,2015-02-12
59.634586,2015-02-13
59.46076,2015-02-14
59.32266,2015-02-15
59.303543,2015-02-16
59.53785,2015-02-17
59.84494,2015-02-18
59.848858,2015-02-19
60.061142,2015-02-20
59.942974,2015-02-21
59.903713,2015-02-22
59.99411,2015-02-23
60.283264,2015-02-24
60.255386,2015-02-25
60.255386,2015-02-26
60.291233,2015-02-27
60.156094,2015-02-28
59.950836,2015-03-01
59.88411,2015-03-02
59.669514,2015-03-03
59.40695,2015-03-04
59.27682,2015-03-05
59.36859,2015-03-06
59.34178,2015-03-07
59.181633,2015-03-08
59.17403,2015-03-09
58.943626,2015-03-10
59.041523,2015-03-11
58.674953,2015-03-12
62.65586,2015-03-13
62.75527,2015-03-14
62.76393,2015-03-15
62.569645,2015-03-16
62.423565,2015-03-17
62.32937,2015-03-18
62.77692,2015-03-19
62.402138,2015-03-20
62.04414,2015-03-21
62.10778,2015-03-22
62.359314,2015-03-23
62.303726,2015-03-24
62.79858,2015-03-25
66.26436,2015-03-26
66.21767,2015-03-27
66.138374,2015-03-28
66.04988,2015-03-29
65.56786,2015-03-30
65.738884,2015-03-31
66.1011,2015-04-01
66.456154,2015-04-02
66.92163,2015-04-03
66.94051,2015-04-04
66.47958,2015-04-05
66.05919,2015-04-06
65.812996,2015-04-07
66.50302,2015-04-08
65.86401,2015-04-09
65.3422,2015-04-10
65.521736,2015-04-11
65.46183,2015-04-12
65.41579,2015-04-13
64.82094,2015-04-14
64.88011,2015-04-15
65.31923,2015-04-16
65.76203,2015-04-17
65.507904,2015-04-18
65.480255,2015-04-19
65.826904,2015-04-20
65.10377,2015-04-21
65.17244,2015-04-22
63.71533,2015-04-23
64.12112,2015-04-24
63.62224,2015-04-25
63.05079,2015-04-26
63.498455,2015-04-27
62.86364,2015-04-28
62.802914,2015-04-29
62.42785,2015-04-30
62.278103,2015-05-01
62.393562,2015-05-02
62.222656,2015-05-03
62.171555,2015-05-04
62.61273,2015-05-05
62.660175,2015-05-06
62.850616,2015-05-07
62.83326,2015-05-08
62.56534,2015-05-09
62.920116,2015-05-10
63.116295,2015-05-11
63.037697,2015-05-12
62.69473,2015-05-13
62.539524,2015-05-14
61.97639,2015-05-15
61.753,2015-05-16
61.997547,2015-05-17
62.027187,2015-05-18
61.69845,2015-05-19
