Predicted Close,Date
71.39008,2015-02-04
71.2504,2015-02-05
71.25455,2015-02-06
71.05772,2015-02-07
71.15906,2015-02-08
71.30451,2015-02-09
71.2504,2015-02-10
71.35874,2015-02-11
71.398445,2015-02-12
71.44449,2015-02-13
71.43401,2015-02-14
71.484314,2015-02-15
71.43192,2015-02-16
71.352486,2015-02-17
71.26495,2015-02-18
71.36919,2015-02-19
71.47593,2015-02-20
71.47383,2015-02-21
71.37754,2015-02-22
71.406815,2015-02-23
71.5011,2015-02-24
71.73079,2015-02-25
71.88776,2015-02-26
71.811295,2015-02-27
71.85375,2015-02-28
71.75619,2015-03-01
71.87713,2015-03-02
71.951614,2015-03-03
71.889885,2015-03-04
72.09471,2015-03-05
72.14827,2015-03-06
72.10327,2015-03-07
72.21694,2015-03-08
72.974556,2015-03-09
72.82577,2015-03-10
72.71236,2015-03-11
72.59058,2015-03-12
72.764656,2015-03-13
72.57756,2015-03-14
72.671,2015-03-15
72.56237,2015-03-16
72.48003,2015-03-17
72.584076,2015-03-18
72.81266,2015-03-19
72.68623,2015-03-20
72.56671,2015-03-21
72.52985,2015-03-22
72.7952,2015-03-23
72.85417,2015-03-24
72.95702,2015-03-25
72.81266,2015-03-26
72.64925,2015-03-27
72.56237,2015-03-28
72.58624,2015-03-29
72.52985,2015-03-30
72.82577,2015-03-31
72.93512,2015-04-01
73.025,2015-04-02
73.05574,2015-04-03
73.13488,2015-04-04
73.176704,2015-04-05
73.21856,2015-04-06
73.10188,2015-04-07
73.20975,2015-04-08
73.15248,2015-04-09
73.14808,2015-04-10
73.48828,2015-04-11
73.55039,2015-04-12
73.289154,2015-04-13
73.40853,2015-04-14
73.28254,2015-04-15
73.66595,2015-04-16
73.72382,2015-04-17
73.70824,2015-04-18
73.326706,2015-04-19
73.55039,2015-04-20
73.57037,2015-04-21
73.719376,2015-04-22
73.41074,2015-04-23
73.41074,2015-04-24
73.143684,2015-04-25
73.44839,2015-04-26
73.62814,2015-04-27
73.56371,2015-04-28
73.78176,2015-04-29
73.561485,2015-04-30
73.7372,2015-05-01
73.8688,2015-05-02
73.86209,2015-05-03
73.83308,2015-05-04
73.78176,2015-05-05
74.00518,2015-05-06
74.011894,2015-05-07
73.94477,2015-05-08
73.770615,2015-05-09
74.391426,2015-05-10
74.31715,2015-05-11
74.2834,2015-05-12
74.3014,2015-05-13
74.402695,2015-05-14
74.61704,2015-05-15
74.30589,2015-05-16
74.62608,2015-05-17
74.614784,2015-05-18
74.47257,2015-05-19
