,Date,Predicted Close,Actual Close,% error
0,2017-07-10,141.22,143.34,-1.48
1,2017-07-11,142.26,142.93,-0.47
2,2017-07-12,141.88,145.91,-2.76
3,2017-07-13,144.64,145.06,-0.29
4,2017-07-14,143.86,146.16,-1.58
5,2017-07-17,144.87,146.4,-1.04
6,2017-07-18,145.09,147.89,-1.89
7,2017-07-19,146.46,148.92,-1.65
8,2017-07-20,147.41,149.94,-1.69
9,2017-07-21,148.34,149.52,-0.79
10,2017-07-24,147.96,149.53,-1.05
11,2017-07-25,147.97,148.21,-0.16
12,2017-07-26,146.76,149.78,-2.02
13,2017-07-27,148.19,146.2,1.36
14,2017-07-28,144.91,146.73,-1.24
15,2017-07-31,145.4,146.49,-0.75
16,2017-08-01,145.18,147.36,-1.48
17,2017-08-02,145.98,147.13,-0.78
18,2017-08-03,145.76,147.79,-1.37
19,2017-08-04,146.37,147.71,-0.91
20,2017-08-08,146.3,147.81,-1.02
21,2017-08-09,146.39,148.35,-1.32
22,2017-08-10,146.89,144.92,1.36
23,2017-08-11,143.73,146.47,-1.87
24,2017-08-14,145.16,149.16,-2.68
25,2017-08-15,147.63,150.36,-1.82
26,2017-08-16,148.72,151.8,-2.03
27,2017-08-17,150.04,148.23,1.22
28,2017-08-18,146.78,147.97,-0.81
29,2017-08-21,146.54,149.26,-1.82
30,2017-08-22,147.72,152.25,-2.98
31,2017-08-23,150.45,151.1,-0.43
32,2017-08-24,149.4,150.81,-0.93
33,2017-08-25,149.14,151.45,-1.53
34,2017-08-28,149.72,151.79,-1.36
35,2017-08-29,150.03,152.14,-1.39
36,2017-08-30,150.35,153.67,-2.16
37,2017-08-31,151.74,155.16,-2.21
38,2017-09-01,153.08,155.06,-1.27
39,2017-09-05,152.99,154.28,-0.83
40,2017-09-06,152.29,153.76,-0.96
41,2017-09-07,151.82,155.47,-2.35
42,2017-09-08,153.36,155.34,-1.27
43,2017-09-11,153.25,156.87,-2.31
44,2017-09-12,154.62,156.31,-1.08
45,2017-09-13,154.12,156.24,-1.36
46,2017-09-14,154.06,154.95,-0.58
47,2017-09-15,152.89,154.49,-1.03
48,2017-09-18,152.48,155.77,-2.11
49,2017-09-19,153.63,156.6,-1.89
50,2017-09-20,154.38,149.96,2.95
51,2017-09-21,148.36,149.3,-0.63
52,2017-09-22,147.76,148.5,-0.5
53,2017-09-25,147.02,144.57,1.7
54,2017-09-26,143.4,145.4,-1.37
55,2017-09-27,144.17,146.43,-1.54
56,2017-09-28,145.12,146.83,-1.16
57,2017-09-29,145.49,149.18,-2.47
58,2017-10-02,147.65,147.94,-0.2
59,2017-10-03,146.51,148.6,-1.41
60,2017-10-04,147.11,147.95,-0.56
61,2017-10-05,146.52,150.25,-2.48
62,2017-10-06,148.62,151.12,-1.65
63,2017-10-09,149.42,151.5,-1.37
64,2017-10-10,149.76,152.15,-1.57
65,2017-10-11,150.36,153.65,-2.14
66,2017-10-12,151.72,153.61,-1.23
67,2017-10-13,151.68,153.93,-1.46
68,2017-10-16,151.97,150.46,1.0
69,2017-10-17,148.82,150.38,-1.04
70,2017-10-18,148.74,153.0,-2.78
71,2017-10-19,151.13,171.73,-12.0
72,2017-10-20,167.75,175.64,-4.49
73,2017-10-23,171.12,172.16,-0.61
74,2017-10-24,168.12,171.58,-2.02
75,2017-10-25,167.62,171.83,-2.45
76,2017-10-26,167.83,173.75,-3.41
77,2017-10-27,169.49,177.33,-4.42
78,2017-10-30,172.56,176.03,-1.97
79,2017-10-31,171.45,175.16,-2.12
80,2017-11-01,170.71,176.25,-3.15
81,2017-11-02,171.64,180.94,-5.14
82,2017-11-03,175.63,182.3,-3.66
83,2017-11-06,176.78,180.8,-2.22
84,2017-11-07,175.51,180.88,-2.97
85,2017-11-09,175.58,181.92,-3.48
86,2017-11-10,176.46,181.72,-2.89
87,2017-11-13,176.29,181.85,-3.06
88,2017-11-14,176.4,181.32,-2.71
89,2017-11-15,175.95,180.08,-2.29
90,2017-11-16,174.9,182.3,-4.06
91,2017-11-17,176.78,182.24,-3.0
92,2017-11-20,176.73,182.34,-3.08
93,2017-11-21,176.81,184.15,-3.98
94,2017-11-22,178.34,182.9,-2.5
95,2017-11-24,177.29,184.46,-3.89
96,2017-11-27,178.6,185.0,-3.46
97,2017-11-28,179.05,185.4,-3.43
98,2017-11-29,179.38,176.85,1.43
99,2017-11-30,172.15,181.47,-5.13
100,2017-12-01,176.08,179.52,-1.92
101,2017-12-04,174.43,168.44,3.56
102,2017-12-05,164.88,167.54,-1.59
103,2017-12-06,164.1,173.52,-5.43
104,2017-12-07,169.29,174.61,-3.04
105,2017-12-08,170.23,173.57,-1.92
106,2017-12-11,169.34,174.31,-2.85
107,2017-12-12,169.98,172.54,-1.49
108,2017-12-13,168.45,176.83,-4.74
109,2017-12-14,172.14,175.0,-1.64
110,2017-12-15,170.57,177.49,-3.9
111,2017-12-18,172.7,176.75,-2.29
