,Date,Predicted Close,Actual Close,% error
0,2017-07-11,151.28,155.27,-2.57
1,2017-07-12,152.76,158.9,-3.86
2,2017-07-13,155.76,159.26,-2.2
3,2017-07-14,156.06,159.97,-2.45
4,2017-07-17,156.64,159.73,-1.93
5,2017-07-18,156.44,162.86,-3.94
6,2017-07-19,158.99,164.14,-3.14
7,2017-07-20,160.02,164.53,-2.74
8,2017-07-21,160.34,164.43,-2.49
9,2017-07-24,160.26,166.0,-3.46
10,2017-07-25,161.51,165.28,-2.28
11,2017-07-26,160.94,165.61,-2.82
12,2017-07-27,161.2,170.44,-5.42
13,2017-07-28,165.03,172.45,-4.3
14,2017-07-31,166.6,169.25,-1.56
15,2017-08-01,164.09,169.86,-3.4
16,2017-08-02,164.57,169.25,-2.76
17,2017-08-03,164.09,168.59,-2.67
18,2017-08-04,163.57,169.62,-3.57
19,2017-08-07,164.38,171.98,-4.42
20,2017-08-08,166.23,171.23,-2.92
21,2017-08-09,165.65,171.18,-3.23
22,2017-08-10,165.61,167.4,-1.07
23,2017-08-11,162.63,168.08,-3.24
24,2017-08-14,163.17,170.75,-4.44
25,2017-08-15,165.27,171.0,-3.35
26,2017-08-16,165.47,170.0,-2.67
27,2017-08-17,164.68,166.91,-1.33
28,2017-08-18,162.24,167.41,-3.09
29,2017-08-21,162.64,167.78,-3.07
30,2017-08-22,162.93,169.64,-3.96
31,2017-08-23,164.4,168.71,-2.55
32,2017-08-24,163.67,167.74,-2.43
33,2017-08-25,162.9,166.32,-2.06
34,2017-08-28,161.77,167.24,-3.27
35,2017-08-29,162.5,168.05,-3.3
36,2017-08-30,163.14,169.92,-3.99
37,2017-08-31,164.62,172.0,-4.29
38,2017-09-01,166.25,172.02,-3.35
39,2017-09-05,166.27,170.72,-2.61
40,2017-09-06,165.25,172.09,-3.98
41,2017-09-07,166.32,173.21,-3.98
42,2017-09-08,167.19,170.95,-2.2
43,2017-09-11,165.43,173.51,-4.66
44,2017-09-12,167.43,172.96,-3.2
45,2017-09-13,167.0,173.05,-3.5
46,2017-09-14,167.07,170.96,-2.28
47,2017-09-15,165.44,171.58,-3.58
48,2017-09-18,165.92,170.01,-2.4
49,2017-09-19,164.69,172.52,-4.54
50,2017-09-20,166.66,172.17,-3.2
51,2017-09-21,166.38,171.11,-2.76
52,2017-09-22,165.55,170.54,-2.92
53,2017-09-25,165.11,162.87,1.37
54,2017-09-26,159.0,164.21,-3.17
55,2017-09-27,160.08,167.68,-4.53
56,2017-09-28,162.85,168.73,-3.48
57,2017-09-29,163.68,170.81,-4.17
58,2017-10-02,165.32,169.47,-2.45
59,2017-10-03,164.27,169.96,-3.35
60,2017-10-04,164.65,168.42,-2.24
61,2017-10-05,163.44,171.24,-4.56
62,2017-10-06,165.66,172.23,-3.82
63,2017-10-09,166.43,172.5,-3.52
64,2017-10-10,166.64,171.59,-2.88
65,2017-10-11,165.93,172.74,-3.94
66,2017-10-12,166.83,172.55,-3.32
67,2017-10-13,166.68,173.74,-4.06
68,2017-10-16,167.6,174.52,-3.96
69,2017-10-17,168.21,176.11,-4.49
70,2017-10-18,169.44,176.03,-3.75
71,2017-10-19,169.37,174.56,-2.97
72,2017-10-20,168.24,174.98,-3.85
73,2017-10-23,168.56,171.27,-1.58
74,2017-10-24,165.68,171.8,-3.56
75,2017-10-25,166.09,170.6,-2.64
76,2017-10-26,165.15,170.63,-3.21
77,2017-10-27,165.18,177.88,-7.14
78,2017-10-30,170.79,179.87,-5.05
79,2017-10-31,172.31,180.06,-4.31
80,2017-11-01,172.45,182.66,-5.59
81,2017-11-02,174.41,178.92,-2.52
82,2017-11-03,171.59,178.92,-4.1
83,2017-11-06,171.59,180.17,-4.76
84,2017-11-07,172.53,180.25,-4.28
85,2017-11-09,172.6,179.3,-3.74
86,2017-11-10,171.87,178.46,-3.69
87,2017-11-13,171.23,178.77,-4.22
88,2017-11-14,171.47,178.07,-3.71
89,2017-11-15,170.94,177.95,-3.94
90,2017-11-16,170.85,179.59,-4.87
91,2017-11-17,172.09,179.0,-3.86
92,2017-11-20,171.65,178.74,-3.97
93,2017-11-21,171.45,181.86,-5.73
94,2017-11-22,173.81,180.87,-3.9
95,2017-11-24,173.06,182.78,-5.32
96,2017-11-27,174.5,183.03,-4.66
97,2017-11-28,174.69,182.42,-4.24
98,2017-11-29,174.23,175.13,-0.51
99,2017-11-30,168.68,177.18,-4.8
100,2017-12-01,170.26,175.1,-2.77
101,2017-12-04,168.66,171.47,-1.64
102,2017-12-05,165.84,172.83,-4.05
103,2017-12-06,166.9,176.06,-5.2
104,2017-12-07,169.4,180.14,-5.96
105,2017-12-08,172.51,179.0,-3.62
106,2017-12-11,171.65,179.04,-4.13
107,2017-12-12,171.68,176.96,-2.99
108,2017-12-13,170.09,178.3,-4.61
109,2017-12-14,171.11,178.39,-4.08
110,2017-12-15,171.18,180.18,-4.99
111,2017-12-18,172.54,180.82,-4.58
