,Date,Predicted Close,Actual Close,% error
0,2017-07-11,86.94,86.77,0.2
1,2017-07-12,86.62,86.96,-0.39
2,2017-07-13,86.81,86.7,0.13
3,2017-07-14,86.55,87.1,-0.64
4,2017-07-17,86.95,87.55,-0.68
5,2017-07-18,87.41,88.64,-1.39
6,2017-07-19,88.52,88.35,0.19
7,2017-07-20,88.23,88.6,-0.42
8,2017-07-21,88.48,88.61,-0.15
9,2017-07-24,88.49,88.18,0.35
10,2017-07-25,88.05,89.14,-1.22
11,2017-07-26,89.03,89.3,-0.3
12,2017-07-27,89.19,90.68,-1.64
13,2017-07-28,90.6,90.21,0.43
14,2017-07-31,90.12,90.82,-0.77
15,2017-08-01,90.74,91.1,-0.4
16,2017-08-02,91.02,91.04,-0.02
17,2017-08-03,90.96,90.86,0.11
18,2017-08-04,90.78,90.67,0.12
19,2017-08-07,90.59,91.44,-0.93
20,2017-08-08,91.37,91.58,-0.23
21,2017-08-09,91.51,91.92,-0.44
22,2017-08-10,91.86,91.74,0.13
23,2017-08-11,91.67,91.34,0.37
24,2017-08-14,91.27,91.65,-0.42
25,2017-08-15,91.58,92.2,-0.67
26,2017-08-16,92.14,92.44,-0.32
27,2017-08-17,92.39,92.07,0.34
28,2017-08-18,92.01,92.47,-0.5
29,2017-08-21,92.42,92.86,-0.48
30,2017-08-22,92.81,92.79,0.02
31,2017-08-23,92.74,92.44,0.33
32,2017-08-24,92.39,92.27,0.13
33,2017-08-25,92.21,92.51,-0.32
34,2017-08-28,92.46,92.47,-0.01
35,2017-08-29,92.42,92.32,0.1
36,2017-08-30,92.26,91.87,0.43
37,2017-08-31,91.81,92.27,-0.5
38,2017-09-01,92.21,92.53,-0.34
39,2017-09-05,92.48,92.72,-0.26
40,2017-09-06,92.67,92.72,-0.05
41,2017-09-07,92.67,92.97,-0.32
42,2017-09-08,92.92,92.84,0.09
43,2017-09-11,92.79,93.99,-1.27
44,2017-09-12,93.96,93.51,0.48
45,2017-09-13,93.47,93.55,-0.08
46,2017-09-14,93.51,93.55,-0.04
47,2017-09-15,93.51,93.27,0.26
48,2017-09-18,93.23,93.15,0.09
49,2017-09-19,93.11,94.17,-1.13
50,2017-09-20,94.14,94.4,-0.27
51,2017-09-21,94.38,92.64,1.87
52,2017-09-22,92.59,92.24,0.38
53,2017-09-25,92.18,92.72,-0.58
54,2017-09-26,92.67,92.65,0.02
55,2017-09-27,92.6,90.87,1.9
56,2017-09-28,90.79,90.89,-0.11
57,2017-09-29,90.81,90.98,-0.19
58,2017-10-02,90.9,91.77,-0.95
59,2017-10-03,91.71,92.12,-0.45
60,2017-10-04,92.06,92.42,-0.39
61,2017-10-05,92.37,92.03,0.37
62,2017-10-06,91.97,92.33,-0.39
63,2017-10-09,92.27,92.12,0.17
64,2017-10-10,92.06,91.62,0.48
