,Date,Predicted Close,Actual Close,% error
0,2017-07-10,57.09,58.51,-2.43
1,2017-07-11,57.45,57.98,-0.91
2,2017-07-12,56.99,61.02,-6.6
3,2017-07-13,59.62,60.5,-1.45
4,2017-07-14,59.18,60.75,-2.59
5,2017-07-17,59.39,60.5,-1.83
6,2017-07-18,59.18,61.33,-3.51
7,2017-07-19,59.89,61.33,-2.35
8,2017-07-20,59.89,61.08,-1.95
9,2017-07-21,59.68,60.93,-2.06
10,2017-07-24,59.55,61.44,-3.08
11,2017-07-25,59.98,60.95,-1.58
12,2017-07-26,59.56,62.64,-4.91
13,2017-07-27,61.01,61.17,-0.27
14,2017-07-28,59.75,61.45,-2.76
15,2017-07-31,59.99,61.81,-2.94
16,2017-08-01,60.3,62.4,-3.36
17,2017-08-02,60.8,61.45,-1.05
18,2017-08-03,59.99,63.97,-6.22
19,2017-08-04,62.13,62.01,0.19
20,2017-08-08,60.47,61.33,-1.4
21,2017-08-09,59.89,61.38,-2.43
22,2017-08-10,59.93,60.21,-0.46
23,2017-08-11,58.93,60.74,-2.98
24,2017-08-14,59.38,61.89,-4.05
25,2017-08-15,60.37,61.97,-2.58
26,2017-08-16,60.44,62.89,-3.9
27,2017-08-17,61.22,61.37,-0.25
28,2017-08-18,59.92,62.01,-3.36
29,2017-08-21,60.47,61.78,-2.12
30,2017-08-22,60.27,64.26,-6.2
31,2017-08-23,62.37,64.01,-2.56
32,2017-08-24,62.16,63.43,-2.0
33,2017-08-25,61.68,62.58,-1.45
34,2017-08-28,60.96,62.75,-2.86
35,2017-08-29,61.1,63.48,-3.75
36,2017-08-30,61.72,65.68,-6.03
37,2017-08-31,63.56,65.56,-3.05
38,2017-09-01,63.46,65.12,-2.55
39,2017-09-05,63.09,65.05,-3.01
40,2017-09-06,63.04,64.0,-1.51
41,2017-09-07,62.16,65.83,-5.58
42,2017-09-08,63.69,64.93,-1.92
43,2017-09-11,62.94,66.16,-4.87
44,2017-09-12,63.96,66.09,-3.22
45,2017-09-13,63.9,65.4,-2.29
46,2017-09-14,63.33,65.17,-2.83
47,2017-09-15,63.14,65.0,-2.87
48,2017-09-18,62.99,64.2,-1.88
49,2017-09-19,62.32,64.31,-3.09
50,2017-09-20,62.42,65.0,-3.98
51,2017-09-21,62.99,64.11,-1.74
52,2017-09-22,62.25,63.9,-2.58
53,2017-09-25,62.07,62.14,-0.11
54,2017-09-26,60.58,61.76,-1.91
55,2017-09-27,60.26,63.09,-4.49
56,2017-09-28,61.39,63.54,-3.39
57,2017-09-29,61.77,64.49,-4.22
58,2017-10-02,62.57,63.39,-1.3
59,2017-10-03,61.64,63.45,-2.85
60,2017-10-04,61.69,62.63,-1.5
61,2017-10-05,61.0,63.09,-3.32
62,2017-10-06,61.39,63.25,-2.94
63,2017-10-09,61.52,61.18,0.56
64,2017-10-10,59.76,61.45,-2.75
65,2017-10-11,59.99,61.36,-2.23
66,2017-10-12,59.92,62.05,-3.44
67,2017-10-13,60.51,61.08,-0.94
68,2017-10-16,59.68,61.48,-2.93
69,2017-10-17,60.02,61.66,-2.66
70,2017-10-18,60.17,61.5,-2.16
71,2017-10-19,60.04,61.99,-3.15
72,2017-10-20,60.45,62.63,-3.47
73,2017-10-23,61.0,61.46,-0.75
74,2017-10-24,60.0,62.73,-4.35
75,2017-10-25,61.08,61.81,-1.18
76,2017-10-26,60.3,62.06,-2.84
77,2017-10-27,60.51,64.14,-5.65
78,2017-10-30,62.27,65.3,-4.63
79,2017-10-31,63.24,65.49,-3.43
80,2017-11-01,63.4,65.33,-2.95
81,2017-11-02,63.27,65.45,-3.33
82,2017-11-03,63.37,63.2,0.27
83,2017-11-06,61.48,60.87,1.0
84,2017-11-07,59.5,60.96,-2.4
85,2017-11-09,59.57,63.31,-5.9
86,2017-11-10,61.57,63.0,-2.26
87,2017-11-13,61.31,63.62,-3.63
88,2017-11-14,61.84,64.03,-3.43
89,2017-11-15,62.18,62.89,-1.13
90,2017-11-16,61.22,64.13,-4.54
91,2017-11-17,62.26,64.1,-2.86
92,2017-11-20,62.24,63.93,-2.64
93,2017-11-21,62.1,64.5,-3.73
94,2017-11-22,62.58,65.14,-3.94
95,2017-11-24,63.11,66.03,-4.42
96,2017-11-27,63.85,65.74,-2.87
97,2017-11-28,63.61,65.97,-3.58
98,2017-11-29,63.8,62.01,2.89
99,2017-11-30,60.47,62.4,-3.09
100,2017-12-01,60.8,61.96,-1.87
101,2017-12-04,60.43,58.6,3.12
102,2017-12-05,57.53,59.55,-3.39
103,2017-12-06,58.36,60.75,-3.94
104,2017-12-07,59.39,61.57,-3.54
105,2017-12-08,60.1,62.43,-3.74
106,2017-12-11,60.83,63.17,-3.71
107,2017-12-12,61.46,64.4,-4.57
108,2017-12-13,62.49,64.6,-3.26
109,2017-12-14,62.66,65.03,-3.65
110,2017-12-15,63.02,66.73,-5.56
111,2017-12-18,64.43,66.01,-2.39
112,2017-12-19,63.84,64.9,-1.64
113,2017-12-20,62.91,64.38,-2.28
114,2017-12-21,62.47,65.08,-4.0
115,2017-12-22,63.06,64.51,-2.25
116,2017-12-26,62.58,63.45,-1.36
117,2017-12-27,61.69,63.34,-2.6
118,2017-12-28,61.6,63.4,-2.84
119,2017-12-29,61.65,63.32,-2.64
120,2018-01-02,61.58,64.31,-4.24
121,2018-01-03,62.42,65.31,-4.43
122,2018-01-04,63.25,64.66,-2.18
123,2018-01-05,62.71,66.37,-5.52
124,2018-01-08,64.13,66.63,-3.75
125,2018-01-09,64.35,66.19,-2.78
126,2018-01-10,63.98,66.83,-4.26
127,2018-01-11,64.51,69.24,-6.82
128,2018-01-12,66.49,70.36,-5.5
129,2018-01-16,67.4,68.7,-1.89
130,2018-01-17,66.05,70.36,-6.12
131,2018-01-18,67.4,69.8,-3.44
132,2018-01-19,66.95,70.57,-5.14
133,2018-01-22,67.57,71.3,-5.23
134,2018-01-23,68.16,71.55,-4.74
135,2018-01-24,68.36,70.08,-2.46
136,2018-01-25,67.17,70.82,-5.15
137,2018-01-26,67.77,72.52,-6.55
138,2018-01-29,69.13,72.45,-4.58
139,2018-01-30,69.08,71.61,-3.53
140,2018-01-31,68.41,74.13,-7.72
141,2018-02-01,70.41,73.35,-4.0
142,2018-02-02,69.8,71.42,-2.27
143,2018-02-05,68.25,68.4,-0.21
144,2018-02-06,65.81,69.7,-5.59
145,2018-02-07,66.86,69.46,-3.74
146,2018-02-08,66.67,65.83,1.28
147,2018-02-09,63.69,66.78,-4.63
148,2018-02-12,64.47,68.32,-5.63
149,2018-02-13,65.74,68.07,-3.42
150,2018-02-14,65.54,69.65,-5.91
151,2018-02-15,66.82,71.99,-7.18
152,2018-02-16,68.71,70.19,-2.11
153,2018-02-20,67.26,70.84,-5.05
154,2018-02-21,67.79,70.22,-3.47
155,2018-02-22,67.29,69.49,-3.17
156,2018-02-23,66.69,72.07,-7.46
157,2018-02-26,68.77,73.16,-5.99
158,2018-02-27,69.64,72.61,-4.08
159,2018-02-28,69.21,73.13,-5.37
160,2018-03-01,69.62,72.01,-3.32
161,2018-03-02,68.73,74.01,-7.14
162,2018-03-05,70.32,75.1,-6.37
163,2018-03-06,71.18,73.92,-3.71
164,2018-03-07,70.25,74.07,-5.16
165,2018-03-08,70.37,76.81,-8.39
166,2018-03-09,72.52,78.22,-7.29
167,2018-03-12,73.61,76.86,-4.23
168,2018-03-13,72.56,75.93,-4.44
169,2018-03-14,71.83,74.22,-3.22
170,2018-03-15,70.48,73.38,-3.95
171,2018-03-16,69.82,71.68,-2.6
172,2018-03-19,68.46,71.05,-3.64
173,2018-03-20,67.96,71.37,-4.78
174,2018-03-21,68.21,71.61,-4.74
175,2018-03-22,68.41,69.76,-1.94
176,2018-03-23,66.91,68.04,-1.66
177,2018-03-26,65.51,70.08,-6.52
178,2018-03-27,67.17,66.29,1.33
