,Date,Predicted Close,Actual Close,% error
0,2017-07-11,219.94,227.49,-3.32
1,2017-07-12,220.72,232.31,-4.99
2,2017-07-13,224.7,229.84,-2.24
3,2017-07-14,222.66,235.55,-5.47
4,2017-07-17,227.35,236.82,-4.0
5,2017-07-18,228.39,234.15,-2.46
6,2017-07-19,226.21,236.4,-4.31
7,2017-07-20,228.05,241.8,-5.69
8,2017-07-21,232.41,240.86,-3.51
9,2017-07-24,231.66,238.33,-2.8
10,2017-07-25,229.61,238.09,-3.56
11,2017-07-26,229.42,241.87,-5.15
12,2017-07-27,232.47,244.04,-4.74
13,2017-07-28,234.2,240.54,-2.63
14,2017-07-31,231.4,240.09,-3.62
15,2017-08-01,231.04,240.08,-3.77
16,2017-08-02,231.03,238.5,-3.13
17,2017-08-03,229.75,238.4,-3.63
18,2017-08-04,229.67,238.8,-3.82
19,2017-08-07,229.99,242.52,-5.17
20,2017-08-08,232.99,242.45,-3.9
21,2017-08-09,232.93,206.84,12.62
22,2017-08-10,203.09,210.97,-3.73
23,2017-08-11,206.69,208.81,-1.01
24,2017-08-14,204.82,210.54,-2.72
25,2017-08-15,206.32,212.2,-2.77
26,2017-08-16,207.75,213.36,-2.63
27,2017-08-17,208.75,208.22,0.26
28,2017-08-18,204.3,204.67,-0.18
29,2017-08-21,201.2,205.18,-1.94
30,2017-08-22,201.64,210.07,-4.01
31,2017-08-23,205.91,208.73,-1.35
32,2017-08-24,204.75,208.19,-1.65
33,2017-08-25,204.28,202.64,0.81
34,2017-08-28,199.41,205.96,-3.18
35,2017-08-29,202.33,209.58,-3.46
36,2017-08-30,205.49,211.67,-2.92
37,2017-08-31,207.3,213.59,-2.95
38,2017-09-01,208.95,212.95,-1.88
39,2017-09-05,208.4,210.75,-1.11
40,2017-09-06,206.5,212.5,-2.82
41,2017-09-07,208.01,212.47,-2.1
42,2017-09-08,207.99,212.29,-2.03
43,2017-09-11,207.83,215.06,-3.36
44,2017-09-12,210.22,212.89,-1.26
45,2017-09-13,208.35,211.18,-1.34
46,2017-09-14,206.87,208.99,-1.01
47,2017-09-15,204.97,208.89,-1.88
48,2017-09-18,204.89,210.89,-2.85
49,2017-09-19,206.62,211.39,-2.26
50,2017-09-20,207.05,209.58,-1.21
51,2017-09-21,205.49,208.77,-1.57
52,2017-09-22,204.78,209.3,-2.16
53,2017-09-25,205.24,210.62,-2.55
54,2017-09-26,206.39,210.25,-1.84
55,2017-09-27,206.07,213.05,-3.28
56,2017-09-28,208.49,215.01,-3.03
57,2017-09-29,210.17,215.75,-2.59
58,2017-10-02,210.81,217.96,-3.28
59,2017-10-03,212.69,219.0,-2.88
60,2017-10-04,213.58,220.45,-3.12
61,2017-10-05,214.81,221.53,-3.03
62,2017-10-06,215.72,218.91,-1.46
63,2017-10-09,213.5,220.6,-3.22
64,2017-10-10,214.93,223.32,-3.76
65,2017-10-11,217.23,226.37,-4.04
66,2017-10-12,219.78,225.51,-2.54
67,2017-10-13,219.06,225.3,-2.77
68,2017-10-16,218.89,227.1,-3.62
69,2017-10-17,220.39,225.9,-2.44
70,2017-10-18,219.39,226.28,-3.05
71,2017-10-19,219.71,225.74,-2.67
72,2017-10-20,219.26,224.84,-2.48
73,2017-10-23,218.5,224.22,-2.55
74,2017-10-24,217.98,223.8,-2.6
75,2017-10-25,217.63,223.39,-2.58
76,2017-10-26,217.29,223.86,-2.94
77,2017-10-27,217.68,222.57,-2.2
78,2017-10-30,216.6,221.02,-2.0
79,2017-10-31,215.29,225.56,-4.55
80,2017-11-01,219.11,224.7,-2.49
81,2017-11-02,218.39,224.42,-2.69
82,2017-11-03,218.15,224.19,-2.69
83,2017-11-06,217.96,224.26,-2.81
84,2017-11-07,218.02,223.93,-2.64
85,2017-11-09,217.74,198.0,9.97
86,2017-11-10,195.29,195.87,-0.29
87,2017-11-13,193.38,202.12,-4.32
88,2017-11-14,198.95,204.15,-2.55
89,2017-11-15,200.74,199.88,0.43
90,2017-11-16,196.96,204.42,-3.65
91,2017-11-17,200.98,202.74,-0.87
92,2017-11-20,199.5,204.26,-2.33
93,2017-11-21,200.83,207.42,-3.17
94,2017-11-22,203.6,204.55,-0.46
95,2017-11-24,201.09,204.55,-1.69
96,2017-11-27,201.09,205.51,-2.15
97,2017-11-28,201.93,207.05,-2.47
98,2017-11-29,203.28,211.44,-3.86
99,2017-11-30,207.1,215.71,-3.99
100,2017-12-01,210.77,216.93,-2.84
101,2017-12-04,211.82,212.69,-0.41
102,2017-12-05,208.18,211.6,-1.62
103,2017-12-06,207.24,218.88,-5.32
104,2017-12-07,213.48,225.2,-5.21
105,2017-12-08,218.8,224.97,-2.74
106,2017-12-11,218.61,227.52,-3.92
107,2017-12-12,220.74,223.23,-1.12
108,2017-12-13,217.15,218.54,-0.63
109,2017-12-14,213.19,216.8,-1.67
110,2017-12-15,211.7,226.39,-6.49
111,2017-12-18,219.8,224.61,-2.14
112,2017-12-19,218.31,222.34,-1.81
113,2017-12-20,216.4,222.57,-2.77
114,2017-12-21,216.6,224.06,-3.33
115,2017-12-22,217.85,221.97,-1.86
116,2017-12-26,216.09,218.66,-1.17
117,2017-12-27,213.29,219.52,-2.84
118,2017-12-28,214.02,216.83,-1.3
119,2017-12-29,211.73,215.26,-1.64
120,2018-01-02,210.39,211.28,-0.42
121,2018-01-03,206.96,209.0,-0.98
122,2018-01-04,204.98,205.51,-0.26
123,2018-01-05,201.93,202.0,-0.03
124,2018-01-08,198.84,208.95,-4.84
125,2018-01-09,204.94,205.5,-0.27
126,2018-01-10,201.92,205.18,-1.59
127,2018-01-11,201.64,203.96,-1.14
