,Date,Predicted Close,Actual Close,% error
0,2017-07-11,152.74,155.27,-1.63
1,2017-07-12,154.35,158.9,-2.86
2,2017-07-13,157.63,159.26,-1.02
3,2017-07-14,157.96,159.97,-1.26
4,2017-07-17,158.59,159.73,-0.71
5,2017-07-18,158.38,162.86,-2.75
6,2017-07-19,161.17,164.14,-1.81
7,2017-07-20,162.3,164.53,-1.36
8,2017-07-21,162.64,164.43,-1.09
9,2017-07-24,162.56,166.0,-2.08
10,2017-07-25,163.94,165.28,-0.81
11,2017-07-26,163.3,165.61,-1.39
12,2017-07-27,163.59,170.44,-4.02
13,2017-07-28,167.8,172.45,-2.69
14,2017-07-31,169.54,169.25,0.17
15,2017-08-01,166.77,169.86,-1.82
16,2017-08-02,167.3,169.25,-1.15
17,2017-08-03,166.77,168.59,-1.08
18,2017-08-04,166.2,169.62,-2.02
19,2017-08-07,167.09,171.98,-2.84
20,2017-08-08,169.13,171.23,-1.23
21,2017-08-09,168.49,171.18,-1.57
22,2017-08-10,168.44,167.4,0.62
23,2017-08-11,165.16,168.08,-1.74
24,2017-08-14,165.76,170.75,-2.93
25,2017-08-15,168.07,171.0,-1.71
26,2017-08-16,168.29,170.0,-1.01
27,2017-08-17,167.42,166.91,0.31
28,2017-08-18,164.73,167.41,-1.6
29,2017-08-21,165.17,167.78,-1.56
30,2017-08-22,165.49,169.64,-2.44
31,2017-08-23,167.11,168.71,-0.95
32,2017-08-24,166.3,167.74,-0.86
33,2017-08-25,165.46,166.32,-0.52
34,2017-08-28,164.22,167.24,-1.81
35,2017-08-29,165.02,168.05,-1.8
36,2017-08-30,165.73,169.92,-2.47
37,2017-08-31,167.35,172.0,-2.7
38,2017-09-01,169.15,172.02,-1.67
39,2017-09-05,169.17,170.72,-0.91
40,2017-09-06,168.05,172.09,-2.35
41,2017-09-07,169.23,173.21,-2.3
42,2017-09-08,170.19,170.95,-0.45
43,2017-09-11,168.24,173.51,-3.03
44,2017-09-12,170.44,172.96,-1.45
45,2017-09-13,169.97,173.05,-1.78
46,2017-09-14,170.05,170.96,-0.53
47,2017-09-15,168.25,171.58,-1.94
48,2017-09-18,168.79,170.01,-0.72
49,2017-09-19,167.43,172.52,-2.95
50,2017-09-20,169.6,172.17,-1.49
51,2017-09-21,169.3,171.11,-1.06
52,2017-09-22,168.38,170.54,-1.26
53,2017-09-25,167.89,162.87,3.08
54,2017-09-26,161.18,164.21,-1.85
55,2017-09-27,162.36,167.68,-3.17
56,2017-09-28,165.41,168.73,-1.97
57,2017-09-29,166.32,170.81,-2.63
58,2017-10-02,168.12,169.47,-0.79
59,2017-10-03,166.96,169.96,-1.76
60,2017-10-04,167.39,168.42,-0.61
61,2017-10-05,166.05,171.24,-3.03
62,2017-10-06,168.49,172.23,-2.17
63,2017-10-09,169.35,172.5,-1.83
64,2017-10-10,169.58,171.59,-1.17
65,2017-10-11,168.8,172.74,-2.28
66,2017-10-12,169.78,172.55,-1.6
67,2017-10-13,169.62,173.74,-2.37
68,2017-10-16,170.64,174.52,-2.22
69,2017-10-17,171.31,176.11,-2.73
70,2017-10-18,172.66,176.03,-1.91
71,2017-10-19,172.59,174.56,-1.13
72,2017-10-20,171.34,174.98,-2.08
73,2017-10-23,171.7,171.27,0.25
74,2017-10-24,168.52,171.8,-1.91
75,2017-10-25,168.98,170.6,-0.95
76,2017-10-26,167.94,170.63,-1.58
77,2017-10-27,167.97,177.88,-5.57
78,2017-10-30,174.16,179.87,-3.18
79,2017-10-31,175.83,180.06,-2.35
80,2017-11-01,175.99,182.66,-3.65
81,2017-11-02,178.15,178.92,-0.43
82,2017-11-03,175.03,178.92,-2.17
