,Date,Predicted Close,Actual Close,% error
0,2017-07-11,953.22,953.53,-0.03
1,2017-07-12,955.67,967.66,-1.24
2,2017-07-13,969.32,968.72,0.06
3,2017-07-14,970.34,976.91,-0.67
4,2017-07-17,978.23,975.96,0.23
5,2017-07-18,977.32,986.95,-0.98
6,2017-07-19,987.87,992.77,-0.49
7,2017-07-20,993.44,992.19,0.13
8,2017-07-21,992.89,993.84,-0.1
9,2017-07-24,994.47,998.31,-0.38
10,2017-07-25,998.74,969.03,3.07
11,2017-07-26,970.65,965.31,0.55
12,2017-07-27,967.06,952.51,1.53
13,2017-07-28,954.69,958.33,-0.38
14,2017-07-31,960.32,945.5,1.57
15,2017-08-01,947.89,946.56,0.14
16,2017-08-02,948.92,947.64,0.13
17,2017-08-03,949.97,940.3,1.03
18,2017-08-04,942.84,945.79,-0.31
19,2017-08-07,948.17,945.75,0.26
20,2017-08-08,948.13,944.19,0.42
21,2017-08-09,946.62,940.08,0.7
22,2017-08-10,942.63,923.59,2.06
23,2017-08-11,926.56,930.09,-0.38
24,2017-08-14,932.9,938.93,-0.64
25,2017-08-15,941.51,938.08,0.37
26,2017-08-16,940.68,944.27,-0.38
27,2017-08-17,946.7,927.66,2.05
28,2017-08-18,930.53,926.18,0.47
29,2017-08-21,929.09,920.87,0.89
30,2017-08-22,923.9,940.4,-1.75
31,2017-08-23,942.94,942.58,0.04
32,2017-08-24,945.05,936.89,0.87
33,2017-08-25,939.52,930.5,0.97
34,2017-08-28,933.3,928.13,0.56
35,2017-08-29,930.99,935.75,-0.51
36,2017-08-30,938.42,943.63,-0.55
37,2017-08-31,946.07,955.24,-0.96
38,2017-09-01,957.33,951.99,0.56
39,2017-09-05,954.18,941.48,1.35
40,2017-09-06,943.99,942.02,0.21
41,2017-09-07,944.51,949.89,-0.57
42,2017-09-08,952.15,941.41,1.14
43,2017-09-11,943.92,943.29,0.07
44,2017-09-12,945.74,946.65,-0.1
45,2017-09-13,949.01,950.44,-0.15
46,2017-09-14,952.68,940.13,1.33
47,2017-09-15,942.67,935.29,0.79
48,2017-09-18,937.97,929.75,0.88
49,2017-09-19,932.57,936.86,-0.46
50,2017-09-20,939.5,947.54,-0.85
51,2017-09-21,949.87,947.55,0.24
52,2017-09-22,949.88,943.26,0.7
53,2017-09-25,945.72,934.28,1.22
54,2017-09-26,936.98,937.43,-0.05
55,2017-09-27,940.05,959.9,-2.07
56,2017-09-28,961.83,964.81,-0.31
57,2017-09-29,966.58,973.72,-0.73
58,2017-10-02,975.16,967.47,0.8
59,2017-10-03,969.14,972.08,-0.3
60,2017-10-04,973.58,966.78,0.7
61,2017-10-05,968.48,985.19,-1.7
62,2017-10-06,986.18,993.64,-0.75
63,2017-10-09,994.28,992.31,0.2
64,2017-10-10,993.0,987.8,0.53
65,2017-10-11,988.68,1005.65,-1.69
66,2017-10-12,1005.74,1005.65,0.01
67,2017-10-13,1005.74,1007.87,-0.21
68,2017-10-16,1007.86,1009.35,-0.15
69,2017-10-17,1009.27,1011.0,-0.17
