,Date,Predicted Close,Actual Close,% error
0,2017-03-15,187.29,191.2,-2.05
1,2017-03-16,188.06,190.31,-1.18
2,2017-03-17,187.27,192.36,-2.65
3,2017-03-20,189.08,193.01,-2.04
4,2017-03-21,189.65,192.13,-1.29
5,2017-03-22,188.88,192.22,-1.74
6,2017-03-23,188.96,192.14,-1.66
7,2017-03-24,188.89,191.51,-1.37
8,2017-03-27,188.33,190.43,-1.1
9,2017-03-28,187.37,190.99,-1.89
10,2017-03-29,187.87,190.68,-1.47
11,2017-03-30,187.6,191.28,-1.93
12,2017-03-31,188.13,191.33,-1.67
13,2017-04-03,188.17,190.72,-1.34
14,2017-04-04,187.63,190.19,-1.35
15,2017-04-05,187.16,190.24,-1.62
16,2017-04-06,187.21,189.89,-1.41
17,2017-04-07,186.89,189.99,-1.63
18,2017-04-10,186.98,189.71,-1.44
19,2017-04-11,186.74,190.07,-1.75
20,2017-04-12,187.05,189.7,-1.39
21,2017-04-13,186.73,188.65,-1.02
22,2017-04-17,185.79,190.36,-2.4
23,2017-04-18,187.31,190.22,-1.53
24,2017-04-19,187.19,189.83,-1.39
25,2017-04-20,186.84,191.16,-2.26
26,2017-04-21,188.02,191.5,-1.82
27,2017-04-24,188.32,194.23,-3.04
28,2017-04-25,190.73,195.13,-2.26
29,2017-04-26,191.52,195.0,-1.79
30,2017-04-27,191.4,196.11,-2.4
31,2017-04-28,192.37,195.83,-1.77
32,2017-05-01,192.13,194.81,-1.38
33,2017-05-02,191.24,196.53,-2.69
34,2017-05-03,192.74,197.63,-2.47
35,2017-05-04,193.7,199.51,-2.91
36,2017-05-05,195.33,199.4,-2.04
37,2017-05-08,195.24,198.65,-1.72
38,2017-05-09,194.59,197.96,-1.7
39,2017-05-10,193.99,196.64,-1.35
40,2017-05-11,192.84,196.75,-1.99
41,2017-05-12,192.93,196.57,-1.85
42,2017-05-15,192.77,197.63,-2.46
43,2017-05-16,193.7,197.91,-2.13
44,2017-05-17,193.94,194.84,-0.46
45,2017-05-18,191.26,195.24,-2.04
46,2017-05-19,191.61,195.8,-2.14
47,2017-05-22,192.1,198.51,-3.23
48,2017-05-23,194.46,197.73,-1.65
49,2017-05-24,193.79,197.49,-1.88
50,2017-05-25,193.58,199.54,-2.99
51,2017-05-26,195.36,200.67,-2.65
52,2017-05-30,196.33,202.44,-3.02
53,2017-05-31,197.86,204.47,-3.23
54,2017-06-01,199.6,204.35,-2.32
55,2017-06-02,199.5,206.7,-3.48
56,2017-06-05,201.5,206.22,-2.29
57,2017-06-06,201.09,205.41,-2.1
58,2017-06-07,200.4,205.01,-2.25
59,2017-06-08,200.06,205.94,-2.85
60,2017-06-09,200.86,206.93,-2.94
61,2017-06-12,201.7,207.39,-2.74
62,2017-06-13,202.09,209.11,-3.36
63,2017-06-14,203.55,210.01,-3.08
64,2017-06-15,204.31,211.29,-3.31
65,2017-06-16,205.38,213.24,-3.68
66,2017-06-19,207.02,213.36,-2.97
67,2017-06-20,207.12,213.36,-2.93
68,2017-06-21,207.12,212.86,-2.7
69,2017-06-22,206.7,212.22,-2.6
70,2017-06-23,206.16,212.9,-3.16
71,2017-06-26,206.73,212.61,-2.76
72,2017-06-27,206.49,209.78,-1.57
73,2017-06-28,204.11,210.62,-3.09
74,2017-06-29,204.82,207.85,-1.46
75,2017-06-30,202.48,208.19,-2.74
76,2017-07-03,202.77,209.83,-3.37
77,2017-07-05,204.15,209.76,-2.67
78,2017-07-06,204.1,208.02,-1.89
79,2017-07-07,202.62,209.59,-3.32
80,2017-07-10,203.95,210.49,-3.11
81,2017-07-11,204.71,209.66,-2.36
82,2017-07-12,204.01,211.3,-3.45
83,2017-07-13,205.39,211.09,-2.7
84,2017-07-14,205.22,211.77,-3.09
85,2017-07-17,205.79,211.68,-2.78
86,2017-07-18,205.71,211.31,-2.65
87,2017-07-19,205.4,212.1,-3.16
88,2017-07-20,206.06,212.45,-3.01
89,2017-07-21,206.36,211.16,-2.27
90,2017-07-24,205.27,210.0,-2.25
91,2017-07-25,204.3,199.39,2.46
92,2017-07-26,195.23,199.03,-1.91
93,2017-07-27,194.92,200.05,-2.57
94,2017-07-28,195.8,199.72,-1.96
95,2017-07-31,195.51,201.17,-2.81
96,2017-08-01,196.77,203.18,-3.16
97,2017-08-02,198.5,205.41,-3.37
98,2017-08-03,200.4,207.62,-3.48
99,2017-08-04,202.28,207.65,-2.58
100,2017-08-07,202.31,207.44,-2.47
101,2017-08-08,202.13,206.43,-2.08
102,2017-08-09,201.27,206.48,-2.52
103,2017-08-10,201.32,206.23,-2.38
104,2017-08-11,201.1,205.98,-2.37
105,2017-08-14,200.89,207.37,-3.12
106,2017-08-15,202.07,207.18,-2.47
107,2017-08-16,201.91,207.92,-2.89
108,2017-08-17,202.54,205.35,-1.37
109,2017-08-18,200.35,203.53,-1.56
110,2017-08-21,198.8,204.55,-2.81
111,2017-08-22,199.67,205.46,-2.82
112,2017-08-23,200.45,202.67,-1.1
113,2017-08-24,198.06,202.12,-2.01
114,2017-08-25,197.59,202.13,-2.25
115,2017-08-28,197.59,202.46,-2.4
116,2017-08-29,197.88,202.92,-2.48
117,2017-08-30,198.27,203.69,-2.66
118,2017-08-31,198.93,204.32,-2.64
119,2017-09-01,199.47,203.56,-2.01
120,2017-09-05,198.82,200.98,-1.07
121,2017-09-06,196.6,202.05,-2.7
122,2017-09-07,197.52,204.46,-3.39
123,2017-09-08,199.59,205.69,-2.96
124,2017-09-11,200.64,209.56,-4.25
125,2017-09-12,203.93,209.64,-2.73
126,2017-09-13,203.99,209.49,-2.62
127,2017-09-14,203.87,211.43,-3.58
128,2017-09-15,205.5,213.35,-3.68
129,2017-09-18,207.11,213.76,-3.11
130,2017-09-19,207.45,213.56,-2.86
131,2017-09-20,207.29,210.51,-1.53
132,2017-09-21,204.73,210.44,-2.71
133,2017-09-22,204.67,210.76,-2.89
134,2017-09-25,204.94,210.73,-2.75
135,2017-09-26,204.91,211.03,-2.9
136,2017-09-27,205.17,209.48,-2.06
137,2017-09-28,203.86,209.55,-2.72
138,2017-09-29,203.92,209.9,-2.85
139,2017-10-02,204.21,212.76,-4.02
140,2017-10-03,206.62,214.57,-3.71
141,2017-10-04,208.13,216.52,-3.88
142,2017-10-05,209.75,216.37,-3.06
143,2017-10-06,209.62,216.52,-3.18
144,2017-10-09,209.75,216.68,-3.2
145,2017-10-10,209.88,216.75,-3.17
146,2017-10-11,209.94,216.51,-3.03
147,2017-10-12,209.74,217.59,-3.61
148,2017-10-13,210.63,217.72,-3.25
149,2017-10-16,210.74,218.72,-3.65
150,2017-10-17,211.57,217.75,-2.84
151,2017-10-18,210.77,218.27,-3.44
152,2017-10-19,211.2,219.24,-3.67
153,2017-10-20,211.99,221.32,-4.21
154,2017-10-23,213.7,221.55,-3.54
155,2017-10-24,213.89,234.65,-8.85
156,2017-10-25,224.42,237.92,-5.68
157,2017-10-26,226.99,232.94,-2.56
158,2017-10-27,223.06,234.74,-4.97
159,2017-10-30,224.49,231.02,-2.83
160,2017-10-31,221.54,230.19,-3.76
161,2017-11-01,220.87,230.18,-4.04
162,2017-11-02,220.87,232.23,-4.89
163,2017-11-03,222.5,232.22,-4.19
164,2017-11-06,222.49,230.31,-3.39
165,2017-11-07,220.97,230.05,-3.95
166,2017-11-09,220.76,228.39,-3.34
167,2017-11-15,219.43,227.4,-3.5
168,2017-11-17,218.64,229.36,-4.68
169,2017-11-20,220.21,231.49,-4.87
170,2017-11-21,221.91,234.09,-5.2
171,2017-11-27,223.97,234.0,-4.28
172,2017-11-28,223.9,235.63,-4.98
173,2017-12-05,225.19,238.26,-5.49
174,2018-03-01,227.25,231.34,-1.77
175,2018-03-02,221.79,230.37,-3.72
176,2018-03-05,221.02,232.81,-5.07
177,2018-03-06,222.96,233.66,-4.58
178,2018-03-07,223.63,235.57,-5.07
